k,Greedy-Random Score,Greedy-Distance Score,Difference,Winner
2,0.9982509691914162,0.998004137530779,0.0002468316606372145,Greedy-Random
3,0.9946942600602984,0.9953828715223327,-0.0006886114620343609,Greedy-Distance
4,0.988311937940896,0.991944436624135,-0.003632498683239005,Greedy-Distance
5,0.9867489709732931,0.9869335393088337,-0.00018456833554059138,Greedy-Distance
6,0.980568045653286,0.9809494155424714,-0.00038136988918535675,Greedy-Distance
7,0.9751330374992049,0.9769757950663671,-0.0018427575671622343,Greedy-Distance
