k,Greedy-Random Adjusted Score,Greedy-Distance Adjusted Score,Difference,Winner
2,0.9946808843849182,0.998004137530779,-0.003323253145860794,Greedy-Distance
3,0.9908321568856954,0.9953828715223327,-0.004550714636637365,Greedy-Distance
4,0.9742950815415856,0.991944436624135,-0.01764935508254939,Greedy-Distance
5,0.9731698331367351,0.9869335393088337,-0.013763706172098544,Greedy-Distance
6,0.9653461097393325,0.9809494155424714,-0.015603305803138845,Greedy-Distance
7,0.9532277494495837,0.9769757950663671,-0.023748045616783453,Greedy-Distance
