Test Index,SMILES,Lambda,Method,Initialization,Seed,Raw Score,Connectivity Penalty,Adjusted Score,Partition
674,CC1=C(N)C=NO1,0.01,Greedy-Distance,4,45,0.9976628427816862,0.0,0.9976628427816862,"{0: 0, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 0, 8: 3, 9: 0, 10: 1, 11: 1, 12: 2}"
674,CC1=C(N)C=NO1,0.01,Metropolis-Hastings,51,92,0.9978130661477643,0.0,0.9978130661477643,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 2, 9: 1, 10: 0, 11: 1, 12: 3}"
674,CC1=C(N)C=NO1,0.1,Greedy-Distance,4,45,0.9976628427816862,0.0,0.9976628427816862,"{0: 0, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 0, 8: 3, 9: 0, 10: 1, 11: 1, 12: 2}"
674,CC1=C(N)C=NO1,0.1,Metropolis-Hastings,45,86,0.9978130661477643,0.0,0.9978130661477643,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 3, 12: 2}"
674,CC1=C(N)C=NO1,0.5,Greedy-Distance,4,45,0.9976628427816862,0.0,0.9976628427816862,"{0: 0, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 0, 8: 3, 9: 0, 10: 1, 11: 1, 12: 2}"
674,CC1=C(N)C=NO1,0.5,Metropolis-Hastings,9,50,0.9978130661477643,0.0,0.9978130661477643,"{0: 2, 1: 2, 2: 2, 3: 2, 4: 2, 5: 2, 6: 2, 7: 2, 8: 1, 9: 2, 10: 2, 11: 3, 12: 0}"
674,CC1=C(N)C=NO1,1.0,Greedy-Distance,4,45,0.9976628427816862,0.0,0.9976628427816862,"{0: 0, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 0, 8: 3, 9: 0, 10: 1, 11: 1, 12: 2}"
674,CC1=C(N)C=NO1,1.0,Metropolis-Hastings,8,49,0.9978130661477643,0.0,0.9978130661477643,"{0: 3, 1: 3, 2: 3, 3: 3, 4: 3, 5: 3, 6: 3, 7: 0, 8: 3, 9: 3, 10: 1, 11: 3, 12: 2}"
674,CC1=C(N)C=NO1,1.5,Greedy-Distance,4,45,0.9976628427816862,0.0,0.9976628427816862,"{0: 0, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 0, 8: 3, 9: 0, 10: 1, 11: 1, 12: 2}"
674,CC1=C(N)C=NO1,1.5,Metropolis-Hastings,55,96,0.9978130661477643,0.0,0.9978130661477643,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 3, 9: 1, 10: 1, 11: 2, 12: 0}"
1113,CCCC1=NC=NN=N1,0.01,Greedy-Distance,56,97,0.9984544194022401,0.0,0.9984544194022401,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 1, 8: 1, 9: 0, 10: 2, 11: 0, 12: 0, 13: 0, 14: 0, 15: 3, 16: 1}"
1113,CCCC1=NC=NN=N1,0.01,Metropolis-Hastings,1,42,0.9985030343322462,0.0,0.9985030343322462,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 3, 12: 0, 13: 0, 14: 0, 15: 2, 16: 1}"
1113,CCCC1=NC=NN=N1,0.1,Greedy-Distance,56,97,0.9984544194022401,0.0,0.9984544194022401,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 1, 8: 1, 9: 0, 10: 2, 11: 0, 12: 0, 13: 0, 14: 0, 15: 3, 16: 1}"
1113,CCCC1=NC=NN=N1,0.1,Metropolis-Hastings,6,47,0.9985030343322462,0.0,0.9985030343322462,"{0: 3, 1: 3, 2: 3, 3: 3, 4: 0, 5: 0, 6: 3, 7: 3, 8: 3, 9: 3, 10: 2, 11: 3, 12: 3, 13: 3, 14: 3, 15: 1, 16: 0}"
1113,CCCC1=NC=NN=N1,0.5,Greedy-Distance,56,97,0.9984544194022401,0.0,0.9984544194022401,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 1, 8: 1, 9: 0, 10: 2, 11: 0, 12: 0, 13: 0, 14: 0, 15: 3, 16: 1}"
1113,CCCC1=NC=NN=N1,0.5,Metropolis-Hastings,1,42,0.9985030343322462,0.0,0.9985030343322462,"{0: 2, 1: 2, 2: 2, 3: 2, 4: 1, 5: 1, 6: 2, 7: 2, 8: 2, 9: 2, 10: 3, 11: 2, 12: 2, 13: 2, 14: 0, 15: 2, 16: 1}"
1113,CCCC1=NC=NN=N1,1.0,Greedy-Distance,56,97,0.9984544194022401,0.0,0.9984544194022401,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 1, 8: 1, 9: 0, 10: 2, 11: 0, 12: 0, 13: 0, 14: 0, 15: 3, 16: 1}"
1113,CCCC1=NC=NN=N1,1.0,Metropolis-Hastings,42,83,0.9985030343322462,0.0,0.9985030343322462,"{0: 2, 1: 2, 2: 2, 3: 2, 4: 3, 5: 3, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, 11: 2, 12: 2, 13: 2, 14: 0, 15: 2, 16: 3}"
1113,CCCC1=NC=NN=N1,1.5,Greedy-Distance,56,97,0.9984544194022401,0.0,0.9984544194022401,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 1, 8: 1, 9: 0, 10: 2, 11: 0, 12: 0, 13: 0, 14: 0, 15: 3, 16: 1}"
1113,CCCC1=NC=NN=N1,1.5,Metropolis-Hastings,56,97,0.9985030343322462,0.0,0.9985030343322462,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 2, 11: 0, 12: 0, 13: 0, 14: 0, 15: 3, 16: 1}"
3142,CNC(=O)CC1CN1,0.01,Greedy-Distance,23,64,0.9983709170607374,0.0,0.9983709170607374,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 2, 11: 1, 12: 1, 13: 1, 14: 0, 15: 0, 16: 0, 17: 3}"
3142,CNC(=O)CC1CN1,0.01,Metropolis-Hastings,6,47,0.9986911823936776,0.0,0.9986911823936776,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 2, 16: 3, 17: 0}"
3142,CNC(=O)CC1CN1,0.1,Greedy-Distance,44,85,0.9977018599543009,0.0,0.9977018599543009,"{0: 2, 1: 2, 2: 2, 3: 2, 4: 2, 5: 3, 6: 3, 7: 3, 8: 1, 9: 2, 10: 0, 11: 2, 12: 2, 13: 2, 14: 3, 15: 3, 16: 3, 17: 3}"
