Beta,Initialization,Seed,Acceptance Rate,Raw Score,Connectivity Penalty,Adjusted Score,Cross-Partition Bonds,Actual k
0.1,1,42,0.9966,0.8429875947296398,0.2,0.8229875947296398,7,4
0.1,2,43,0.994,0.91557618078427,0.2,0.89557618078427,6,4
0.1,3,44,0.9949,0.8360230523032018,0.1,0.8260230523032018,4,4
0.1,4,45,0.9973,0.9065619090863472,0.1,0.8965619090863471,4,4
0.1,5,46,0.9956,0.9090473880102085,0.1,0.8990473880102084,4,4
0.1,6,47,0.9963,0.8959765703921017,0.0,0.8959765703921017,3,4
0.1,7,48,0.9993,0.8624803622618229,0.2,0.8424803622618229,7,4
0.1,8,49,0.9993,0.8656296564250828,0.0,0.8656296564250828,3,4
0.1,9,50,0.9966,0.8713445717625868,0.15,0.8563445717625868,5,4
0.1,10,51,1.0,0.8239292604166085,0.1,0.8139292604166085,6,4
0.1,11,52,0.9921,0.9038298350389175,0.0,0.9038298350389175,3,4
0.1,12,53,0.9955,0.8910586616761051,0.4,0.8510586616761051,8,4
0.1,13,54,0.9942,0.8928698289906204,0.35,0.8578698289906204,7,4
0.1,14,55,0.9961,0.8528737440669145,0.1,0.8428737440669145,4,4
0.1,15,56,0.9959,0.888739683744979,0.35,0.853739683744979,8,4
0.1,16,57,0.9944,0.8593026873067994,0.2,0.8393026873067994,7,4
0.1,17,58,0.9935,0.9038298350389167,0.0,0.9038298350389167,3,4
0.1,18,59,0.9967,0.909047388010209,0.1,0.899047388010209,4,4
0.1,19,60,0.9944,0.9038298350389171,0.0,0.9038298350389171,3,4
0.1,20,61,0.9945,0.8656296564250834,0.0,0.8656296564250834,3,4
0.1,21,62,0.9972,0.9090473880102085,0.1,0.8990473880102084,4,4
0.1,22,63,0.9942,0.8579305176208719,0.2,0.8379305176208719,5,4
0.1,23,64,0.9972,0.8564840546143597,0.1,0.8464840546143597,4,4
0.1,24,65,0.9952,0.9090473880102131,0.1,0.8990473880102131,4,4
0.1,25,66,0.9957,0.9038298350389175,0.0,0.9038298350389175,3,4
0.1,26,67,0.9939,0.9038298350389168,0.0,0.9038298350389168,3,4
0.1,27,68,0.998,0.8564840546143596,0.1,0.8464840546143596,4,4
0.1,28,69,0.9956,0.9038298350389172,0.0,0.9038298350389172,3,4
0.1,29,70,0.9984,0.8656296564250833,0.0,0.8656296564250833,3,4
0.1,30,71,0.9986,0.9038298350389168,0.0,0.9038298350389168,3,4
0.1,31,72,0.9973,0.884887229605349,0.2,0.864887229605349,6,4
0.1,32,73,0.9952,0.88171237737089,0.2,0.86171237737089,7,4
0.1,33,74,0.9979,0.9038298350389175,0.0,0.9038298350389175,3,4
0.1,34,75,0.9942,0.9038298350389184,0.0,0.9038298350389184,3,4
0.1,35,76,0.9964,0.8525440445728818,0.1,0.8425440445728818,5,4
0.1,36,77,0.9955,0.8656296564250835,0.0,0.8656296564250835,3,4
0.1,37,78,0.996,0.9090473880102067,0.1,0.8990473880102067,4,4
0.1,38,79,0.9973,0.9065619090863484,0.1,0.8965619090863484,4,4
0.1,39,80,0.9944,0.8656296564250828,0.0,0.8656296564250828,3,4
0.1,40,81,0.9973,0.8656296564250825,0.0,0.8656296564250825,3,4
0.1,41,82,0.9941,0.9038298350389171,0.0,0.9038298350389171,3,4
0.1,42,83,0.9977,0.8656296564250828,0.0,0.8656296564250828,3,4
0.1,43,84,0.9954,0.9038298350389148,0.0,0.9038298350389148,3,4
0.1,44,85,0.9979,0.8959765703920954,0.0,0.8959765703920954,3,4
0.1,45,86,0.9986,0.9038298350389175,0.0,0.9038298350389175,3,4
0.1,46,87,0.9986,0.9038298350389152,0.0,0.9038298350389152,3,4
0.1,47,88,0.9945,0.8035389416359079,0.0,0.8035389416359079,4,4
0.1,48,89,0.9973,0.9065619090863498,0.1,0.8965619090863498,4,4
0.1,49,90,0.9963,0.9038298350389192,0.0,0.9038298350389192,3,4
0.1,50,91,0.9986,0.8474958952239825,0.25,0.8224958952239825,6,4
0.1,51,92,0.9972,0.8564840546143596,0.1,0.8464840546143596,4,4
0.1,52,93,0.9971,0.9090473880102087,0.1,0.8990473880102087,4,4
0.1,53,94,0.995,0.895976570392098,0.0,0.895976570392098,3,4
0.1,54,95,0.9972,0.9038298350389162,0.0,0.9038298350389162,3,4
0.1,55,96,0.9924,0.8234376218096894,0.1,0.8134376218096894,4,4
0.1,56,97,0.9956,0.9090473880102096,0.1,0.8990473880102096,4,4
0.1,57,98,0.9935,0.9038298350389175,0.0,0.9038298350389175,3,4
0.1,58,99,0.9973,0.865629656425082,0.0,0.865629656425082,3,4
0.1,59,100,0.9978,0.9038298350389168,0.0,0.9038298350389168,3,4
