Strategy,N molecules,Mean adjusted score,Adjusted score std,Mean raw score,Raw score std,Mean connectivity penalty,Mean within %,Mean between %,Mean higher %,Mean requested k,Mean actual k,Validation pass %,Mean validation error,Contribution Setting
Metropolis-Hastings (k=6),20,0.9897235448802324,0.0035379647458676565,0.9897235448802324,0.0035379647458676565,0.0,98.448788893825,1.0471311883884786,0.5040799177805281,6.0,6.0,100.0,3.105564941106249e-16,With single-atom contributions
Distance (k=4),20,0.9890742987000163,0.005989047990169759,0.9890742987000163,0.005989047990169759,0.0,98.34821250288005,1.1184347342351173,0.5333527628788204,4.0,4.0,100.0,3.573097197289433e-16,With single-atom contributions
Greedy-Distance (k=5),20,0.9869335393088337,0.006370503901675269,0.9869335393088337,0.006370503901675269,0.0,98.11328709293016,1.1601336758984169,0.7265792311654221,5.0,5.0,100.0,3.857879416793788e-16,With single-atom contributions
Metropolis-Hastings (k=7),20,0.9844638165966721,0.004564977804915477,0.9844638165966721,0.004564977804915477,0.0,97.75669980817845,1.3793637029694852,0.8639364888460406,7.0,7.0,100.0,3.010199305348145e-16,With single-atom contributions
Distance (k=5),20,0.982096031680479,0.008075281525051237,0.982096031680479,0.008075281525051237,0.0,97.45035332972543,1.5184996766369858,1.0311469936316398,5.0,5.0,100.0,3.410746277582891e-16,With single-atom contributions
Greedy-Distance (k=6),20,0.9809494155424714,0.007377833043436029,0.9809494155424714,0.007377833043436029,0.0,97.17618040090747,1.8375223066714421,0.9862972924151583,6.0,6.0,100.0,2.5545603238122377e-16,With single-atom contributions
Greedy-Distance (k=7),20,0.9769757950663671,0.009186239128061758,0.9769757950663671,0.009186239128061758,0.0,96.78555349539278,1.8240520224800587,1.390394482121262,7.0,7.0,100.0,3.3763206382165933e-16,With single-atom contributions
Greedy-Random (k=4),20,0.9742950815415856,0.01348637770990405,0.988311937940896,0.006065514843906714,0.14016856399310293,98.19064832730365,1.2810909335639502,0.5282607391264389,4.0,4.0,100.0,4.209218246187231e-16,With single-atom contributions
Greedy-Random (k=5),20,0.9731698331367351,0.013848927646418688,0.9867489709732931,0.006462910925484575,0.1357913783655808,98.01563414345658,1.3185259077375198,0.665839948799939,5.0,5.0,100.0,3.0249820238014216e-16,With single-atom contributions
Distance (k=6),20,0.9694207679315079,0.013516337422242071,0.9694207679315079,0.013516337422242071,0.0,95.89558414397207,2.092985298349683,2.0114305576724174,6.0,6.0,100.0,2.681527584805829e-16,With single-atom contributions
Greedy-Random (k=6),20,0.9653461097393325,0.016412564961110526,0.980568045653286,0.007860421194369333,0.15221935913953683,97.21360994050401,1.686389249641312,1.1000008098487568,6.0,6.0,100.0,3.110673239280301e-16,With single-atom contributions
Distance (k=7),20,0.9607414722978866,0.014485940813579347,0.9607414722978866,0.014485940813579347,0.0,94.82359280507137,2.501108849426928,2.6752983454959542,7.0,7.0,100.0,3.357967225030162e-16,With single-atom contributions
Greedy-Random (k=7),20,0.9532277494495837,0.013075918641846283,0.9751330374992049,0.007494580537649106,0.2190528804962107,96.48121335579472,2.0641807882436973,1.454605855955717,7.0,7.0,100.0,3.050440446390276e-16,With single-atom contributions
Random (k=2),20,0.9222652098198202,0.02972293425267826,0.9937334258937284,0.0058480748736040485,0.7146821607390828,98.74668517874366,1.2533148212503076,0.0,2.0,2.0,100.0,3.0688657886567947e-16,With single-atom contributions
Random (k=3),20,0.8905405574836822,0.02435347471104712,0.9843997578322485,0.010356498884956954,0.9385920034856635,97.60292359485241,1.6741043767369825,0.7229720284046809,3.0,3.0,100.0,3.0929847927979267e-16,With single-atom contributions
Random (k=5),20,0.8582144259836006,0.020764851544148616,0.9622440425154212,0.010078142099159861,1.0402961653182072,94.87026723405062,2.708274034975291,2.4214587309682996,5.0,5.0,100.0,3.367295525452093e-16,With single-atom contributions
Random (k=4),20,0.8521048454762143,0.017794322234771502,0.9672462540257867,0.009496113634644181,1.151414085495725,95.33988644758338,2.769477909982828,1.8906356424279802,4.0,4.0,100.0,3.032237541521278e-16,With single-atom contributions
Random (k=7),20,0.8374296084585187,0.019734001745190622,0.9354176345848877,0.015846106423295144,0.979880261263691,91.8223741089014,3.438778699167312,4.738847191925708,7.0,7.0,100.0,2.680415169832545e-16,With single-atom contributions
Random (k=6),20,0.8370533018567745,0.02490497511038971,0.9422703346594513,0.011259799017715134,1.0521703280267691,92.53078072915224,3.392505473578307,4.076713797263825,6.0,6.0,100.0,3.22830543016977e-16,With single-atom contributions
Metropolis-Hastings (k=2),20,0.9748074465566194,0.014686162952815577,0.9824962511431725,0.014201989289774326,0.07688804586553274,96.49925022841016,3.500749770916784,0.0,2.0,2.0,100.0,1.6209488247133566e-15,Without single-atom contributions
Greedy-Distance (k=2),20,0.9462118030718933,0.03994018636100906,0.9581773648774992,0.04385046072113852,0.11965561805605889,91.63547297527131,8.364527024043177,0.0,2.0,2.0,100.0,1.565037089449191e-15,Without single-atom contributions
Greedy-Random (k=2),20,0.9290594619207525,0.026335549332425583,0.989847608121555,0.009727603916605185,0.6078814620080268,97.96952162414388,2.030478375354741,0.0,2.0,2.0,100.0,2.20230955390198e-15,Without single-atom contributions
Metropolis-Hastings (k=3),20,0.9272943235905681,0.04349990632640229,0.9380351973090632,0.04270949158030185,0.10740873718495203,88.8809636025368,9.845112256382063,1.2739241408134103,3.0,3.0,100.0,1.276545426609573e-15,Without single-atom contributions
Metropolis-Hastings (k=4),20,0.8806229200700131,0.04544334237438709,0.8863251197581967,0.046564667272591585,0.0570219968818367,81.60098835530508,14.063047240728082,4.335964403741025,4.0,4.0,100.0,2.3608149445563065e-15,Without single-atom contributions
Greedy-Distance (k=3),20,0.8761313142817244,0.06606538828762176,0.880203676559969,0.06425742160624572,0.04072362278244631,79.50658855501368,17.027558201571576,3.4658532431186067,3.0,3.0,100.0,1.6411054366141396e-15,Without single-atom contributions
Distance (k=2),20,0.874293995253009,0.07555456477914577,0.874293995253009,0.07555456477914577,0.0,74.85879905040589,25.141200949006514,0.0,2.0,2.0,100.0,1.5247341149999948e-15,Without single-atom contributions
Greedy-Random (k=3),20,0.8148086416886345,0.08088186815694852,0.8782099490548598,0.06344329564249328,0.6340130736622525,78.31749834096316,19.006993128678847,2.675508530082903,3.0,3.0,100.0,1.218307996787412e-15,Without single-atom contributions
Metropolis-Hastings (k=5),20,0.812828709746017,0.05464619924457426,0.8169395513748119,0.055948276003741304,0.0411084162879492,72.48052852144785,18.426853231804174,9.09261824655108,5.0,5.0,100.0,2.0429997654473404e-15,Without single-atom contributions
Greedy-Distance (k=4),20,0.8064792682448315,0.07390270183381001,0.8105668930383387,0.07507170575396858,0.04087624793507146,70.71031270517116,20.692753197078876,8.596934097565045,4.0,4.0,100.0,1.7863078637025502e-15,Without single-atom contributions
Metropolis-Hastings (k=6),20,0.7665350088175649,0.06250685173183816,0.7686265374580066,0.06348818667976448,0.02091528640441684,63.78428939538906,26.15672870062513,10.058981903837267,6.0,6.0,100.0,1.200736139797004e-15,Without single-atom contributions
Greedy-Distance (k=5),20,0.7531483169374347,0.09862402612890254,0.7575485823067402,0.0948585937261868,0.044002653693056164,63.607001486834314,24.295713487473666,12.097285025537708,5.0,5.0,100.0,8.807446719609661e-16,Without single-atom contributions
Greedy-Random (k=4),20,0.7401301208316605,0.10394126263170256,0.7968572095137565,0.09679628187390762,0.5672708868209607,68.61005621555618,22.151329471390653,9.238614312866941,4.0,4.0,100.0,9.82206314001928e-16,Without single-atom contributions
Distance (k=3),20,0.7229337400262705,0.14977888891536872,0.7229337400262705,0.14977888891536872,0.0,56.06443011340229,32.45788777806511,11.477682108244288,3.0,3.0,100.0,1.1021956985128235e-15,Without single-atom contributions
Metropolis-Hastings (k=7),20,0.7168856702458717,0.07019318163730741,0.7195700773420434,0.0701278031561426,0.02684407096171802,57.28497014513234,29.34407517798644,13.370954676763047,7.0,7.0,100.0,2.6700074628015987e-15,Without single-atom contributions
Greedy-Distance (k=6),20,0.7118297680310869,0.0935180407272663,0.713519193801395,0.09360108509450192,0.016894257703081235,57.64131695433694,27.421204851427948,14.93747819410223,6.0,6.0,100.0,1.5597617203793551e-15,Without single-atom contributions
Distance (k=4),20,0.7044705529327098,0.12492109395558987,0.7044705529327098,0.12492109395558987,0.0,55.583168777123426,29.727773032053495,14.689058190641871,4.0,4.0,100.0,1.4396211778268745e-15,Without single-atom contributions
Greedy-Random (k=5),20,0.703723991480222,0.08540990946899367,0.7471962620231278,0.07753072633236319,0.4347227054290589,61.65654204982719,26.12616830477257,12.21728964525128,5.0,5.0,100.0,8.223316585972276e-16,Without single-atom contributions
Random (k=2),20,0.6799890632499681,0.13365281526252118,0.7514572793238765,0.12571126619385095,0.7146821607390828,50.291455864645606,49.70854413496535,0.0,2.0,2.0,100.0,3.895126887005512e-15,Without single-atom contributions
Greedy-Distance (k=7),20,0.6379278529698517,0.12379466722789936,0.6412197784356902,0.12300042244030768,0.03291925465838509,48.442391825705414,31.359172035586486,20.198436138602567,7.0,7.0,100.0,3.2655908641935098e-15,Without single-atom contributions
Distance (k=5),20,0.6143450390663586,0.11841670287194225,0.6143450390663586,0.11841670287194225,0.0,44.99430608186204,32.88039564936211,22.125298268636694,5.0,5.0,100.0,2.1089210680248502e-15,Without single-atom contributions
Greedy-Random (k=6),20,0.6070040942515108,0.12156445196783537,0.6479866012189754,0.11123916766237907,0.4098250696746456,47.38170099009872,34.833918263425595,17.784380746346635,6.0,6.0,100.0,6.414614694978711e-16,Without single-atom contributions
Greedy-Random (k=7),20,0.5365425194427949,0.09618944117491869,0.5711591078431024,0.08333188700480318,0.34616588400307613,38.323540952920446,37.58473966264456,24.091719384333725,7.0,7.0,100.0,1.889327670214432e-15,Without single-atom contributions
Random (k=3),20,0.49914286310749717,0.14849612410363644,0.5930020634560634,0.1401994868365716,0.9385920034856635,38.13397900484682,42.33245468124534,19.53356631370254,3.0,3.0,100.0,2.6556732365448975e-15,Without single-atom contributions
Distance (k=6),20,0.4825043705870235,0.1350039177149906,0.4825043705870235,0.1350039177149906,0.0,30.104421291520854,36.29203153422094,33.603547174151664,6.0,6.0,100.0,1.3736175355467304e-15,Without single-atom contributions
Distance (k=7),20,0.4131905497193741,0.09015723296617673,0.4131905497193741,0.09015723296617673,0.0,22.51173934830562,37.61463124714122,39.87362940446141,7.0,7.0,100.0,1.0912713377368395e-15,Without single-atom contributions
Random (k=4),20,0.2621236335609931,0.09817042280921254,0.37726504211056566,0.08999976335498862,1.151414085495725,11.340612555966631,52.77178331002317,35.88760413389267,4.0,4.0,100.0,1.955838949911915e-15,Without single-atom contributions
Random (k=5),20,0.2565791036190377,0.08537164738231787,0.36060872015085843,0.0729143982765845,1.0402961653182072,13.537766599825224,45.046210830385036,41.41602256968759,5.0,5.0,100.0,1.2709825857781658e-15,Without single-atom contributions
Random (k=6),20,0.16147748672477827,0.08372837469255491,0.26669451952745515,0.06937818522077137,1.0521703280267691,5.114208825354781,43.110486254683835,51.77530491988816,6.0,6.0,100.0,8.262265848530203e-16,Without single-atom contributions
Random (k=7),20,0.15322202042519997,0.06797446027354977,0.2512100465515691,0.05872292880702911,0.979880261263691,4.882611567010777,40.4767861762031,54.64060225671925,7.0,7.0,100.0,6.004104475403536e-16,Without single-atom contributions
