Strategy,N molecules,Mean adjusted score,Adjusted score std,Mean raw score,Raw score std,Mean connectivity penalty,Mean within %,Mean between %,Mean higher %,Mean requested k,Mean actual k,Validation pass %,Mean validation error,Contribution Setting
Metropolis-Hastings (k=2),20,0.9993897846110296,0.0006951998010386751,0.9993897846110296,0.0006951998010386751,0.0,99.87795692220386,0.12204307779003815,0.0,2.0,2.0,100.0,4.756349197849845e-16,With single-atom contributions
Metropolis-Hastings (k=3),20,0.9983051343479662,0.0011115348932147183,0.9983051343479662,0.0011115348932147183,0.0,99.69173038303619,0.27756610351279204,0.030703513444933196,3.0,3.0,100.0,6.101006785595048e-16,With single-atom contributions
Greedy-Distance (k=2),20,0.998004137530779,0.003253954103232175,0.998004137530779,0.003253954103232175,0.0,99.60082750615378,0.399172493840146,0.0,2.0,2.0,100.0,4.553055822274794e-16,With single-atom contributions
Distance (k=2),20,0.9972452242525162,0.0034104688467390615,0.9972452242525162,0.0034104688467390615,0.0,99.44904485050117,0.5509551494927539,0.0,2.0,2.0,100.0,5.001596876451281e-16,With single-atom contributions
Metropolis-Hastings (k=4),20,0.9964210173207793,0.001591515318597231,0.9964210173207793,0.001591515318597231,0.0,99.43193007790285,0.4203433083420305,0.14772661374903012,4.0,4.0,100.0,3.623174522859774e-16,With single-atom contributions
Greedy-Distance (k=3),20,0.9953828715223327,0.0028426779610660454,0.9953828715223327,0.0028426779610660454,0.0,99.2802180933588,0.5161381177408499,0.2036437888942903,3.0,3.0,100.0,4.771572250437155e-16,With single-atom contributions
Greedy-Random (k=2),20,0.9946808843849182,0.008222939370222965,0.9982509691914162,0.001390232690941176,0.0357008480649785,99.65019383828118,0.349806161712741,0.0,2.0,2.0,100.0,4.969633462673756e-16,With single-atom contributions
Metropolis-Hastings (k=5),20,0.9940065250144862,0.002489102328197305,0.9940065250144862,0.002489102328197305,0.0,99.05936791252526,0.682569177838631,0.25806290963005313,5.0,5.0,100.0,5.073067285779126e-16,With single-atom contributions
Distance (k=3),20,0.9929050831028855,0.006350745055112314,0.9929050831028855,0.006350745055112314,0.0,98.85489326887227,0.8712300828244559,0.2738766482972276,3.0,3.0,100.0,4.1234608104358735e-16,With single-atom contributions
Greedy-Distance (k=4),20,0.991944436624135,0.003939435786583804,0.991944436624135,0.003939435786583804,0.0,98.83202556007106,0.7248362046768183,0.4431382352460764,4.0,4.0,100.0,3.515552074878859e-16,With single-atom contributions
Greedy-Random (k=3),20,0.9908321568856954,0.007720027498731032,0.9946942600602984,0.004321084269218526,0.03862103174603174,99.14217954831108,0.654492915429506,0.2033275362533966,3.0,3.0,100.0,4.3643898923776944e-16,With single-atom contributions
