k,Initialization,Seed,Actual k,Raw Score,Connectivity Penalty,Adjusted Score,Within Fraction,Between Fraction,Higher Fraction,Within Sum,Between Sum,Higher Sum
2,1,20042,2,0.999654782968768,0.0,0.999654782968768,0.999309565937517,0.0006904340624264853,0.0,-1766.9578621410326,1.2208107842437392,0.0
2,2,20043,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240878,0.0,-1764.263227535052,-1.4738238217344377,0.0
2,3,20044,2,0.9994714591800825,0.0,0.9994714591800825,0.9989429183601461,0.001057081639797273,0.0,-1767.6075340803804,1.8704827235884718,0.0
2,4,20045,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240855,0.0,-1764.2632275350525,-1.4738238217344342,0.0
2,5,20046,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050241086,0.0,-1764.2632275350547,-1.4738238217344768,0.0
2,6,20047,2,0.9989338414385386,0.0,0.9989338414385386,0.9978676828770584,0.002132317122884946,0.0,-1761.9719400076656,-3.765111349120664,0.0
2,7,20048,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240792,0.0,-1764.2632275350531,-1.4738238217344235,0.0
2,8,20049,2,0.999654782968768,0.0,0.999654782968768,0.9993095659375169,0.0006904340624265155,0.0,-1766.9578621410292,1.2208107842437905,0.0
2,9,20050,2,0.9993542967785766,0.0,0.9993542967785766,0.9987085935571341,0.0012914064428091458,0.0,-1763.456767152358,-2.280284204429108,0.0
2,10,20051,2,0.999654782968768,0.0,0.999654782968768,0.9993095659375169,0.0006904340624265134,0.0,-1766.9578621410321,1.2208107842437887,0.0
2,11,20052,2,0.999654782968768,0.0,0.999654782968768,0.999309565937517,0.0006904340624264574,0.0,-1766.957862141032,1.2208107842436895,0.0
2,12,20053,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240964,0.0,-1764.2632275350525,-1.4738238217344533,0.0
2,13,20054,2,0.9994714591800825,0.0,0.9994714591800825,0.9989429183601461,0.0010570816397973387,0.0,-1767.6075340803748,1.870482723588582,0.0
2,14,20055,2,0.9993542967785766,0.0,0.9993542967785766,0.9987085935571341,0.0012914064428091712,0.0,-1763.456767152359,-2.2802842044291536,0.0
2,15,20056,2,0.9989338414385386,0.0,0.9989338414385386,0.9978676828770584,0.0021323171228849573,0.0,-1761.9719400076663,-3.7651113491206853,0.0
2,16,20057,2,0.9984985514762773,0.0,0.9984985514762773,0.9969971029525359,0.0030028970474079335,0.0,-1771.0714150246245,5.334363667834276,0.0
2,17,20058,2,0.9989338414385386,0.0,0.9989338414385386,0.9978676828770583,0.0021323171228850046,0.0,-1761.9719400076651,-3.765111349120767,0.0
2,18,20059,2,0.999654782968768,0.0,0.999654782968768,0.999309565937517,0.0006904340624264924,0.0,-1766.9578621410299,1.22081078424375,0.0
2,19,20060,2,0.9994714591800825,0.0,0.9994714591800825,0.9989429183601461,0.0010570816397973836,0.0,-1767.6075340803768,1.8704827235886636,0.0
2,20,20061,2,0.9994714591800825,0.0,0.9994714591800825,0.9989429183601461,0.0010570816397973627,0.0,-1767.6075340803764,1.8704827235886263,0.0
2,21,20062,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240752,0.0,-1764.263227535052,-1.4738238217344155,0.0
2,22,20063,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.000834679105024087,0.0,-1764.263227535052,-1.4738238217344364,0.0
2,23,20064,2,0.9994714591800825,0.0,0.9994714591800825,0.998942918360146,0.0010570816397973992,0.0,-1767.6075340803764,1.8704827235886912,0.0
2,24,20065,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240597,0.0,-1764.2632275350506,-1.473823821734387,0.0
2,25,20066,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240804,0.0,-1764.2632275350516,-1.4738238217344244,0.0
2,26,20067,2,0.9989338414385386,0.0,0.9989338414385386,0.9978676828770583,0.002132317122885018,0.0,-1761.9719400076701,-3.765111349120801,0.0
2,27,20068,2,0.9995461550660695,0.0,0.9995461550660695,0.9990923101321203,0.0009076898678229819,0.0,-1764.1343097260321,-1.602741630756276,0.0
2,28,20069,2,0.999654782968768,0.0,0.999654782968768,0.9993095659375169,0.0006904340624265121,0.0,-1766.9578621410305,1.2208107842437852,0.0
2,29,20070,2,0.9994714591800825,0.0,0.9994714591800825,0.998942918360146,0.0010570816397974126,0.0,-1767.6075340803766,1.8704827235887151,0.0
2,30,20071,2,0.9994714591800825,0.0,0.9994714591800825,0.9989429183601461,0.0010570816397973836,0.0,-1767.607534080375,1.8704827235886619,0.0
2,31,20072,2,0.9994714591800825,0.0,0.9994714591800825,0.9989429183601461,0.001057081639797378,0.0,-1767.6075340803761,1.870482723588653,0.0
2,32,20073,2,0.9989338414385386,0.0,0.9989338414385386,0.9978676828770584,0.002132317122884963,0.0,-1761.9719400076674,-3.765111349120698,0.0
2,33,20074,2,0.999654782968768,0.0,0.999654782968768,0.999309565937517,0.0006904340624264677,0.0,-1766.9578621410312,1.2208107842437073,0.0
2,34,20075,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240572,0.0,-1764.2632275350538,-1.4738238217343853,0.0
2,35,20076,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240762,0.0,-1764.2632275350509,-1.4738238217344164,0.0
2,36,20077,2,0.9993542967785766,0.0,0.9993542967785766,0.9987085935571341,0.0012914064428091387,0.0,-1763.456767152359,-2.2802842044290963,0.0
2,37,20078,2,0.9993542967785766,0.0,0.9993542967785766,0.9987085935571341,0.0012914064428091317,0.0,-1763.456767152357,-2.2802842044290816,0.0
2,38,20079,2,0.9993542967785766,0.0,0.9993542967785766,0.9987085935571341,0.0012914064428091265,0.0,-1763.4567671523582,-2.280284204429074,0.0
2,39,20080,2,0.999654782968768,0.0,0.999654782968768,0.999309565937517,0.0006904340624264999,0.0,-1766.9578621410312,1.220810784243764,0.0
2,40,20081,2,0.9989338414385386,0.0,0.9989338414385386,0.9978676828770584,0.0021323171228849634,0.0,-1761.9719400076647,-3.7651113491206925,0.0
2,41,20082,2,0.9993542967785766,0.0,0.9993542967785766,0.9987085935571341,0.0012914064428091385,0.0,-1763.4567671523578,-2.2802842044290945,0.0
2,42,20083,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240976,0.0,-1764.2632275350527,-1.4738238217344555,0.0
2,43,20084,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.000834679105024097,0.0,-1764.2632275350516,-1.4738238217344537,0.0
2,44,20085,2,0.999654782968768,0.0,0.999654782968768,0.999309565937517,0.0006904340624264818,0.0,-1766.9578621410312,1.2208107842437321,0.0
2,45,20086,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240754,0.0,-1764.2632275350516,-1.4738238217344155,0.0
2,46,20087,2,0.999654782968768,0.0,0.999654782968768,0.999309565937517,0.0006904340624264795,0.0,-1766.957862141032,1.2208107842437286,0.0
2,47,20088,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240781,0.0,-1764.263227535051,-1.47382382173442,0.0
2,48,20089,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240592,0.0,-1764.2632275350509,-1.4738238217343862,0.0
2,49,20090,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050241062,0.0,-1764.2632275350513,-1.4738238217344697,0.0
2,50,20091,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240733,0.0,-1764.263227535053,-1.4738238217344128,0.0
2,51,20092,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240613,0.0,-1764.2632275350527,-1.4738238217343915,0.0
2,52,20093,2,0.9993542967785766,0.0,0.9993542967785766,0.9987085935571341,0.0012914064428091658,0.0,-1763.4567671523585,-2.2802842044291434,0.0
2,53,20094,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240971,0.0,-1764.2632275350536,-1.4738238217344555,0.0
2,54,20095,2,0.999654782968768,0.0,0.999654782968768,0.999309565937517,0.000690434062426486,0.0,-1766.9578621410308,1.2208107842437392,0.0
2,55,20096,2,0.999654782968768,0.0,0.999654782968768,0.999309565937517,0.000690434062426462,0.0,-1766.9578621410308,1.2208107842436966,0.0
2,56,20097,2,0.9994714591800825,0.0,0.9994714591800825,0.998942918360146,0.0010570816397973968,0.0,-1767.6075340803754,1.8704827235886858,0.0
2,57,20098,2,0.9989338414385386,0.0,0.9989338414385386,0.9978676828770583,0.0021323171228849976,0.0,-1761.971940007666,-3.7651113491207564,0.0
2,58,20099,2,0.9993542967785766,0.0,0.9993542967785766,0.9987085935571341,0.0012914064428091116,0.0,-1763.4567671523582,-2.2802842044290474,0.0
2,59,20100,2,0.9994714591800825,0.0,0.9994714591800825,0.9989429183601461,0.0010570816397973528,0.0,-1767.6075340803757,1.8704827235886081,0.0
2,60,20101,2,0.9993542967785766,0.0,0.9993542967785766,0.9987085935571341,0.0012914064428091183,0.0,-1763.4567671523573,-2.280284204429058,0.0
2,61,20102,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240884,0.0,-1764.2632275350525,-1.4738238217344393,0.0
2,62,20103,2,0.999654782968768,0.0,0.999654782968768,0.999309565937517,0.0006904340624264858,0.0,-1766.9578621410312,1.2208107842437392,0.0
2,63,20104,2,0.999654782968768,0.0,0.999654782968768,0.999309565937517,0.0006904340624264846,0.0,-1766.9578621410315,1.2208107842437372,0.0
2,64,20105,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050241177,0.0,-1764.2632275350547,-1.4738238217344928,0.0
2,65,20106,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240929,0.0,-1764.263227535054,-1.4738238217344484,0.0
2,66,20107,2,0.9994714591800825,0.0,0.9994714591800825,0.998942918360146,0.0010570816397974237,0.0,-1767.6075340803748,1.870482723588733,0.0
2,67,20108,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050241275,0.0,-1764.2632275350518,-1.4738238217345077,0.0
2,68,20109,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240714,0.0,-1764.2632275350525,-1.4738238217344093,0.0
2,69,20110,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.000834679105024093,0.0,-1764.2632275350538,-1.4738238217344484,0.0
2,70,20111,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240773,0.0,-1764.2632275350506,-1.473823821734418,0.0
2,71,20112,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240656,0.0,-1764.263227535051,-1.4738238217343977,0.0
2,72,20113,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240682,0.0,-1764.263227535052,-1.473823821734403,0.0
2,73,20114,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.000834679105024054,0.0,-1764.2632275350506,-1.4738238217343769,0.0
2,74,20115,2,0.9995461550660695,0.0,0.9995461550660695,0.9990923101321203,0.000907689867823035,0.0,-1764.1343097260392,-1.6027416307563762,0.0
2,75,20116,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240584,0.0,-1764.2632275350502,-1.4738238217343844,0.0
2,76,20117,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240791,0.0,-1764.2632275350534,-1.4738238217344235,0.0
2,77,20118,2,0.999654782968768,0.0,0.999654782968768,0.9993095659375169,0.0006904340624265274,0.0,-1766.9578621410324,1.2208107842438136,0.0
2,78,20119,2,0.9994714591800825,0.0,0.9994714591800825,0.9989429183601461,0.0010570816397973692,0.0,-1767.6075340803757,1.870482723588637,0.0
2,79,20120,2,0.9993542967785766,0.0,0.9993542967785766,0.9987085935571341,0.0012914064428091738,0.0,-1763.4567671523585,-2.2802842044291576,0.0
2,80,20121,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050241011,0.0,-1764.2632275350536,-1.4738238217344626,0.0
2,81,20122,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240854,0.0,-1764.2632275350527,-1.4738238217344342,0.0
2,82,20123,2,0.9989338414385386,0.0,0.9989338414385386,0.9978676828770583,0.002132317122885003,0.0,-1761.9719400076667,-3.765111349120767,0.0
2,83,20124,2,0.9994714591800825,0.0,0.9994714591800825,0.9989429183601461,0.0010570816397973445,0.0,-1767.6075340803814,1.8704827235885992,0.0
2,84,20125,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.000834679105024072,0.0,-1764.2632275350513,-1.4738238217344093,0.0
2,85,20126,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240453,0.0,-1764.2632275350525,-1.473823821734363,0.0
2,86,20127,2,0.999654782968768,0.0,0.999654782968768,0.999309565937517,0.0006904340624264891,0.0,-1766.9578621410333,1.2208107842437463,0.0
2,87,20128,2,0.9994714591800825,0.0,0.9994714591800825,0.9989429183601461,0.0010570816397973578,0.0,-1767.6075340803795,1.870482723588621,0.0
2,88,20129,2,0.999654782968768,0.0,0.999654782968768,0.999309565937517,0.0006904340624264922,0.0,-1766.9578621410303,1.22081078424375,0.0
2,89,20130,2,0.999654782968768,0.0,0.999654782968768,0.999309565937517,0.0006904340624264584,0.0,-1766.9578621410344,1.2208107842436928,0.0
2,90,20131,2,0.9994714591800825,0.0,0.9994714591800825,0.9989429183601461,0.0010570816397973504,0.0,-1767.6075340803768,1.870482723588605,0.0
2,91,20132,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240974,0.0,-1764.263227535053,-1.4738238217344555,0.0
2,92,20133,2,0.999654782968768,0.0,0.999654782968768,0.999309565937517,0.0006904340624264921,0.0,-1766.9578621410296,1.2208107842437492,0.0
2,93,20134,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050241099,0.0,-1764.263227535052,-1.4738238217344768,0.0
2,94,20135,2,0.999654782968768,0.0,0.999654782968768,0.999309565937517,0.0006904340624264973,0.0,-1766.95786214103,1.2208107842437588,0.0
2,95,20136,2,0.9994714591800825,0.0,0.9994714591800825,0.9989429183601461,0.0010570816397973933,0.0,-1767.607534080375,1.8704827235886792,0.0
2,96,20137,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240579,0.0,-1764.2632275350513,-1.4738238217343844,0.0
2,97,20138,2,0.9994714591800825,0.0,0.9994714591800825,0.998942918360146,0.0010570816397973918,0.0,-1767.6075340803795,1.8704827235886814,0.0
2,98,20139,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050240796,0.0,-1764.2632275350566,-1.473823821734427,0.0
2,99,20140,2,0.999582660447469,0.0,0.999582660447469,0.9991653208949193,0.0008346791050241107,0.0,-1764.2632275350547,-1.4738238217344803,0.0
