Strategy,N molecules,Mean adjusted score,Adjusted score std,Median adjusted score,Mean raw score,Raw score std,Mean connectivity penalty,Mean within %,Mean between %,Mean higher %,Mean requested k,Mean actual k,Validation pass %,Mean validation error,Contribution setting,Connectivity weight
Greedy-Distance (k=3),20,0.8761313142817244,0.06606538828762176,0.8927425105830835,0.880203676559969,0.06425742160624572,0.04072362278244631,79.50658855501368,17.027558201571576,3.4658532431186067,3.0,3.0,100.0,1.6411054366141396e-15,Without single-atom contributions,0.1
Distance (k=2),20,0.874293995253009,0.07555456477914577,0.8882300297717327,0.874293995253009,0.07555456477914577,0.0,74.85879905040589,25.141200949006514,0.0,2.0,2.0,100.0,1.5247341149999948e-15,Without single-atom contributions,0.1
Metropolis-Hastings (k=4),20,0.8680008340145138,0.041990526098806255,0.8702226543207657,0.8768515283408271,0.04320027074534406,0.08850694326313521,80.26790599310598,14.834493681673088,4.89760032501064,4.0,4.0,100.0,2.920423321372986e-15,Without single-atom contributions,0.1
Greedy-Random (k=3),20,0.8148086416886345,0.08088186815694852,0.8301571523024489,0.8782099490548598,0.06344329564249328,0.6340130736622525,78.31749834096316,19.006993128678847,2.675508530082903,3.0,3.0,100.0,1.218307996787412e-15,Without single-atom contributions,0.1
Greedy-Distance (k=4),20,0.8064792682448315,0.07390270183381001,0.816100313329156,0.8105668930383387,0.07507170575396858,0.04087624793507146,70.71031270517116,20.692753197078876,8.596934097565045,4.0,4.0,100.0,1.7863078637025502e-15,Without single-atom contributions,0.1
Greedy-Random (k=4),20,0.7401301208316605,0.10394126263170256,0.775609359677517,0.7968572095137565,0.09679628187390762,0.5672708868209607,68.61005621555618,22.151329471390653,9.238614312866941,4.0,4.0,100.0,9.82206314001928e-16,Without single-atom contributions,0.1
Distance (k=3),20,0.7229337400262705,0.14977888891536872,0.7520794750142186,0.7229337400262705,0.14977888891536872,0.0,56.06443011340229,32.45788777806511,11.477682108244288,3.0,3.0,100.0,1.1021956985128235e-15,Without single-atom contributions,0.1
Distance (k=4),20,0.7044705529327098,0.12492109395558987,0.7103585023350967,0.7044705529327098,0.12492109395558987,0.0,55.583168777123426,29.727773032053495,14.689058190641871,4.0,4.0,100.0,1.4396211778268745e-15,Without single-atom contributions,0.1
Random (k=2),20,0.6799890632499681,0.13365281526252118,0.670181137894543,0.7514572793238765,0.12571126619385095,0.7146821607390828,50.291455864645606,49.70854413496535,0.0,2.0,2.0,100.0,3.895126887005512e-15,Without single-atom contributions,0.1
Random (k=3),20,0.49914286310749717,0.14849612410363644,0.46716327170474387,0.5930020634560634,0.1401994868365716,0.9385920034856635,38.13397900484682,42.33245468124534,19.53356631370254,3.0,3.0,100.0,2.6556732365448975e-15,Without single-atom contributions,0.1
Random (k=4),20,0.2621236335609931,0.09817042280921254,0.2691067564907051,0.37726504211056566,0.08999976335498862,1.151414085495725,11.340612555966631,52.77178331002317,35.88760413389267,4.0,4.0,100.0,1.955838949911915e-15,Without single-atom contributions,0.1
