Strategy,N molecules,Mean adjusted score,Adjusted score std,Median adjusted score,Mean raw score,Raw score std,Mean connectivity penalty,Mean within %,Mean between %,Mean higher %,Mean requested k,Mean actual k,Validation pass %,Mean validation error,Contribution setting,Connectivity weight
Metropolis-Hastings (k=2),20,0.9992786702349561,0.0007070108576914204,0.9994964635113509,0.9992786702349561,0.0007070108576914204,0.0,99.85573404698918,0.14426595300471276,0.0,2.0,2.0,100.0,4.649166295457603e-16,With single-atom contributions,0.1
Greedy-Distance (k=2),20,0.998004137530779,0.003253954103232175,0.9990282041268608,0.998004137530779,0.003253954103232175,0.0,99.60082750615378,0.399172493840146,0.0,2.0,2.0,100.0,4.553055822274794e-16,With single-atom contributions,0.1
Metropolis-Hastings (k=3),20,0.997519536153364,0.002334894200861245,0.998194513795746,0.997519536153364,0.002334894200861245,0.0,99.58034142942559,0.3432243718135196,0.07643419875479643,3.0,3.0,100.0,4.761565053837562e-16,With single-atom contributions,0.1
Distance (k=2),20,0.9972452242525162,0.0034104688467390615,0.9979012538758101,0.9972452242525162,0.0034104688467390615,0.0,99.44904485050117,0.5509551494927539,0.0,2.0,2.0,100.0,5.001596876451281e-16,With single-atom contributions,0.1
Greedy-Distance (k=3),20,0.9953828715223327,0.0028426779610660454,0.995987874431292,0.9953828715223327,0.0028426779610660454,0.0,99.2802180933588,0.5161381177408499,0.2036437888942903,3.0,3.0,100.0,4.771572250437155e-16,With single-atom contributions,0.1
Metropolis-Hastings (k=4),20,0.9952759863848806,0.0027156816251673733,0.9962868417504999,0.9952759863848806,0.0027156816251673733,0.0,99.2421256098359,0.5709460572962318,0.18692833286180546,4.0,4.0,100.0,3.4216663577491075e-16,With single-atom contributions,0.1
Greedy-Random (k=2),20,0.9946808843849182,0.008222939370222965,0.9978849968566255,0.9982509691914162,0.001390232690941176,0.0357008480649785,99.65019383828118,0.349806161712741,0.0,2.0,2.0,100.0,4.969633462673756e-16,With single-atom contributions,0.1
Distance (k=3),20,0.9929050831028855,0.006350745055112314,0.9941903097065337,0.9929050831028855,0.006350745055112314,0.0,98.85489326887227,0.8712300828244559,0.2738766482972276,3.0,3.0,100.0,4.1234608104358735e-16,With single-atom contributions,0.1
Greedy-Distance (k=4),20,0.991944436624135,0.003939435786583804,0.9927903865301612,0.991944436624135,0.003939435786583804,0.0,98.83202556007106,0.7248362046768183,0.4431382352460764,4.0,4.0,100.0,3.515552074878859e-16,With single-atom contributions,0.1
Greedy-Random (k=3),20,0.9908321568856954,0.007720027498731032,0.9940278092800816,0.9946942600602984,0.004321084269218526,0.03862103174603174,99.14217954831108,0.654492915429506,0.2033275362533966,3.0,3.0,100.0,4.3643898923776944e-16,With single-atom contributions,0.1
Distance (k=4),20,0.9890742987000163,0.005989047990169759,0.9891071014998968,0.9890742987000163,0.005989047990169759,0.0,98.34821250288005,1.1184347342351173,0.5333527628788204,4.0,4.0,100.0,3.573097197289433e-16,With single-atom contributions,0.1
Greedy-Random (k=4),20,0.9742950815415856,0.01348637770990405,0.9733904789631753,0.988311937940896,0.006065514843906714,0.14016856399310293,98.19064832730365,1.2810909335639502,0.5282607391264389,4.0,4.0,100.0,4.209218246187231e-16,With single-atom contributions,0.1
Random (k=2),20,0.9222652098198202,0.02972293425267826,0.9177079769989288,0.9937334258937284,0.0058480748736040485,0.7146821607390828,98.74668517874366,1.2533148212503076,0.0,2.0,2.0,100.0,3.0688657886567947e-16,With single-atom contributions,0.1
Random (k=3),20,0.8905405574836822,0.02435347471104712,0.8889313479085352,0.9843997578322485,0.010356498884956954,0.9385920034856635,97.60292359485241,1.6741043767369825,0.7229720284046809,3.0,3.0,100.0,3.0929847927979267e-16,With single-atom contributions,0.1
Random (k=4),20,0.8521048454762143,0.017794322234771502,0.854833836005583,0.9672462540257867,0.009496113634644181,1.151414085495725,95.33988644758338,2.769477909982828,1.8906356424279802,4.0,4.0,100.0,3.032237541521278e-16,With single-atom contributions,0.1
Metropolis-Hastings (k=2),20,0.9709895919852126,0.017824431724140923,0.9686445457477044,0.9766129203812899,0.01907368477940026,0.05623328396077083,95.32258407610023,4.677415923426607,0.0,2.0,2.0,100.0,2.333701892454774e-15,Without single-atom contributions,0.1
Greedy-Distance (k=2),20,0.9462118030718933,0.03994018636100906,0.9618168772220148,0.9581773648774992,0.04385046072113852,0.11965561805605889,91.63547297527131,8.364527024043177,0.0,2.0,2.0,100.0,1.565037089449191e-15,Without single-atom contributions,0.1
Greedy-Random (k=2),20,0.9290594619207525,0.026335549332425583,0.9241699683276587,0.989847608121555,0.009727603916605185,0.6078814620080268,97.96952162414388,2.030478375354741,0.0,2.0,2.0,100.0,2.20230955390198e-15,Without single-atom contributions,0.1
Metropolis-Hastings (k=3),20,0.9208399293558118,0.046962139668132216,0.9372802819588073,0.934798123335745,0.04210876009451809,0.13958193979933112,88.49702633899894,9.965571988809147,1.537401671935439,3.0,3.0,100.0,1.0586672401981425e-15,Without single-atom contributions,0.1
