Lambda,N Molecules,Mean MH Minus Greedy,Std MH Minus Greedy,SEM MH Minus Greedy,Median MH Minus Greedy,MH Wins,Greedy Wins,Ties
0.01,20,0.004303548507264877,0.0010410557536852717,0.00023278714336075445,0.004243395706388618,20,0,0
0.1,20,0.006776328474743657,0.0019337292202384598,0.0004323949986530858,0.006619775702445988,20,0,0
0.5,20,0.006326943690554458,0.001995126198227389,0.0004461237802927162,0.0062013535371441345,20,0,0
1.0,20,0.005344486726605991,0.002113125074968716,0.00047250913125893886,0.005236511283709963,20,0,0
1.5,20,0.004432956228430395,0.001967116140189668,0.00043986054091011036,0.004434353229498171,20,0,0
