Contribution Setting,Method,k,Mean Adjusted Score,Std Adjusted Score,N
With single-atom contributions,Distance,2,0.9972452242525162,0.0033241138468543432,20
With single-atom contributions,Distance,3,0.9929050831028855,0.006189940598849219,20
With single-atom contributions,Distance,4,0.9890742987000163,0.00583740190813761,20
With single-atom contributions,Distance,5,0.982096031680479,0.00787081083011097,20
With single-atom contributions,Distance,6,0.9694207679315079,0.013174096114963878,20
With single-atom contributions,Distance,7,0.9607414722978866,0.014119148600103255,20
With single-atom contributions,Random,2,0.9222652098198202,0.028970332748513312,20
With single-atom contributions,Random,3,0.8905405574836822,0.023736830959008217,20
With single-atom contributions,Random,4,0.8521048454762143,0.01734375993275793,20
With single-atom contributions,Random,5,0.8582144259836006,0.02023907376013054,20
With single-atom contributions,Random,6,0.8370533018567745,0.024274367056355443,20
With single-atom contributions,Random,7,0.8374296084585187,0.019234325661047418,20
With single-atom contributions,Greedy-Random,2,0.9946808843849182,0.008014729895139619,20
With single-atom contributions,Greedy-Random,3,0.9908321568856954,0.007524552036640131,20
With single-atom contributions,Greedy-Random,4,0.9742950815415856,0.013144894999485046,20
With single-atom contributions,Greedy-Random,5,0.9731698331367351,0.013498264966578218,20
With single-atom contributions,Greedy-Random,6,0.9653461097393325,0.015996989534676185,20
With single-atom contributions,Greedy-Random,7,0.9532277494495837,0.012744828987152946,20
With single-atom contributions,Greedy-Distance,2,0.998004137530779,0.0031715621451651283,20
With single-atom contributions,Greedy-Distance,3,0.9953828715223327,0.0027706997475031607,20
With single-atom contributions,Greedy-Distance,4,0.991944436624135,0.003839687044641307,20
With single-atom contributions,Greedy-Distance,5,0.9869335393088337,0.006209199140243195,20
With single-atom contributions,Greedy-Distance,6,0.9809494155424714,0.0071910221384707,20
With single-atom contributions,Greedy-Distance,7,0.9769757950663671,0.008953638358345516,20
With single-atom contributions,Metropolis-Hastings,2,0.9993897846110296,0.0006775969489276075,20
With single-atom contributions,Metropolis-Hastings,3,0.9983051343479662,0.0010833902011243052,20
With single-atom contributions,Metropolis-Hastings,4,0.9964210173207793,0.001551217250698033,20
With single-atom contributions,Metropolis-Hastings,5,0.9940065250144862,0.0024260768496124317,20
With single-atom contributions,Metropolis-Hastings,6,0.9897235448802324,0.003448381477715636,20
With single-atom contributions,Metropolis-Hastings,7,0.9844638165966721,0.004449389985312861,20
Without single-atom contributions,Distance,2,0.874293995253009,0.07364148047138803,20
Without single-atom contributions,Distance,3,0.7229337400262705,0.1459864027452086,20
Without single-atom contributions,Distance,4,0.7044705529327098,0.12175802121136926,20
Without single-atom contributions,Distance,5,0.6143450390663586,0.11541832498831701,20
Without single-atom contributions,Distance,6,0.4825043705870235,0.1315855421711525,20
Without single-atom contributions,Distance,7,0.4131905497193741,0.08787440084183556,20
Without single-atom contributions,Random,2,0.6799890632499681,0.13026865039685384,20
Without single-atom contributions,Random,3,0.49914286310749717,0.14473611826393737,20
Without single-atom contributions,Random,4,0.2621236335609931,0.09568469218643376,20
Without single-atom contributions,Random,5,0.2565791036190377,0.08320998899130008,20
Without single-atom contributions,Random,6,0.16147748672477827,0.08160832489534402,20
Without single-atom contributions,Random,7,0.15322202042519997,0.06625330849856764,20
Without single-atom contributions,Greedy-Random,2,0.9290594619207525,0.025668718330072313,20
Without single-atom contributions,Greedy-Random,3,0.8148086416886345,0.07883389351497301,20
Without single-atom contributions,Greedy-Random,4,0.7401301208316605,0.10130941108109817,20
Without single-atom contributions,Greedy-Random,5,0.703723991480222,0.08324728226030331,20
Without single-atom contributions,Greedy-Random,6,0.6070040942515108,0.11848637129698987,20
Without single-atom contributions,Greedy-Random,7,0.5365425194427949,0.0937538701274032,20
Without single-atom contributions,Greedy-Distance,2,0.9462118030718933,0.03892887825540992,20
Without single-atom contributions,Greedy-Distance,3,0.8761313142817244,0.06439257529494001,20
Without single-atom contributions,Greedy-Distance,4,0.8064792682448315,0.07203144362998824,20
Without single-atom contributions,Greedy-Distance,5,0.7531483169374347,0.09612681001354789,20
Without single-atom contributions,Greedy-Distance,6,0.7118297680310869,0.09115011104981335,20
Without single-atom contributions,Greedy-Distance,7,0.6379278529698517,0.12066011624543971,20
Without single-atom contributions,Metropolis-Hastings,2,0.9748074465566194,0.014314301001544578,20
Without single-atom contributions,Metropolis-Hastings,3,0.9272943235905681,0.04239846409818975,20
Without single-atom contributions,Metropolis-Hastings,4,0.8806229200700131,0.04429269124638936,20
Without single-atom contributions,Metropolis-Hastings,5,0.812828709746017,0.05326252657623203,20
Without single-atom contributions,Metropolis-Hastings,6,0.7665350088175649,0.06092414289716926,20
Without single-atom contributions,Metropolis-Hastings,7,0.7168856702458717,0.06841585058266562,20
