Beta,N,Mean_Acceptance_Rate,Std_Acceptance_Rate,Min_Acceptance_Rate,Max_Acceptance_Rate,Mean_Adjusted_Score,Std_Adjusted_Score,Median_Adjusted_Score,Min_Adjusted_Score,Max_Adjusted_Score,Mean_Raw_Score,Mean_Connectivity_Penalty
0.1,100,0.996342,0.001768534175896299,0.9921,1.0,0.8722001463888283,0.029104342900791634,0.8656296564250837,0.8035389416359079,0.9038298350389192,0.8811001463888283,0.08900000000000001
1.0,100,0.9613729999999999,0.00618317781393903,0.9477,0.9786,0.8739060262739454,0.029862399260206247,0.8762202902732931,0.813437621809692,0.9069836744975839,0.8841060262739454,0.10200000000000001
5.0,100,0.816677,0.01623652109202329,0.7702,0.8495,0.8884785762348097,0.02463336309629101,0.9038298350389161,0.808784453917185,0.9069836744975838,0.8934785762348098,0.05
20.0,100,0.3737,0.07761230247164101,0.0771,0.5054,0.881069269548092,0.033379606506538415,0.9038298350389156,0.6910743496805188,0.9109443383608091,0.8884692695480919,0.07400000000000001
50.0,100,0.098882,0.05502386879685704,0.003,0.2214,0.8363951805376856,0.06750400187603976,0.8387699717756428,0.43072226936651486,0.9038298350389233,0.8450951805376856,0.087
100.0,100,0.031736,0.032106393585871786,0.0,0.1613,0.8026019875720339,0.06298094929555723,0.7989656977367932,0.43072226936651486,0.9038298350389175,0.8089019875720339,0.063
