Method,k,Mean Score,Std Score,N
Distance,2,0.9972452242525162,0.0033241138468543432,20
Distance,3,0.9929050831028855,0.006189940598849219,20
Distance,4,0.9890742987000163,0.00583740190813761,20
Distance,5,0.982096031680479,0.00787081083011097,20
Distance,6,0.9694207679315079,0.013174096114963878,20
Distance,7,0.9607414722978866,0.014119148600103255,20
Random,2,0.9937334258937284,0.005699998310606334,20
Random,3,0.9843997578322485,0.010094266476391878,20
Random,4,0.9672462540257867,0.00925566666718132,20
Random,5,0.9622440425154212,0.009822957841827247,20
Random,6,0.9422703346594513,0.01097469453895514,20
Random,7,0.9354176345848877,0.01544487404738141,20
Greedy-Random,2,0.9982509691914162,0.0013550312130034,20
Greedy-Random,3,0.9946942600602984,0.00421167197186621,20
Greedy-Random,4,0.988311937940896,0.005911932577894479,20
Greedy-Random,5,0.9867489709732931,0.006299266365951713,20
Greedy-Random,6,0.980568045653286,0.007661390884509554,20
Greedy-Random,7,0.9751330374992049,0.007304813520107363,20
Greedy-Distance,2,0.998004137530779,0.0031715621451651283,20
Greedy-Distance,3,0.9953828715223327,0.0027706997475031607,20
Greedy-Distance,4,0.991944436624135,0.003839687044641307,20
Greedy-Distance,5,0.9869335393088337,0.006209199140243195,20
Greedy-Distance,6,0.9809494155424714,0.0071910221384707,20
Greedy-Distance,7,0.9769757950663671,0.008953638358345516,20
Metropolis-Hastings,2,0.9992786702349561,0.0006891089429465271,20
Metropolis-Hastings,3,0.997519536153364,0.0022757733592681626,20
Metropolis-Hastings,4,0.9952759863848806,0.002646919030648297,20
Metropolis-Hastings,5,0.9934578723666035,0.002855984899402359,20
Metropolis-Hastings,6,0.9870871086509752,0.0040384222845624785,20
Metropolis-Hastings,7,0.9822114972372274,0.0047173702240495,20
