k,N,Raw_Mean,Raw_Std,Raw_Min,Raw_Max,Adjusted_Mean,Adjusted_Std,Adjusted_Min,Adjusted_Max,Penalty_Mean,Penalty_Std,Cross_Bonds_Mean,Cross_Bonds_Std
2,100,0.9985157593743282,0.0013944816775239115,0.9931558472049525,0.999654782968768,0.9985157593743282,0.0013944816775239115,0.9931558472049525,0.999654782968768,0.0,0.0,1.44,0.656282767339712
3,100,0.9956904758382682,0.0029238875267452984,0.9794900754932372,0.9992380197071412,0.9956904758382682,0.0029238875267452984,0.9794900754932372,0.9992380197071412,0.0,0.0,2.69,0.6620293258480535
4,100,0.9923332061727619,0.003999616678499813,0.9719538791062919,0.9982601937581977,0.9923332061727619,0.003999616678499813,0.9719538791062919,0.9982601937581977,0.0,0.0,3.84,0.662410657211883
5,100,0.987845362623331,0.004793943882023018,0.9673827958282701,0.994965627549489,0.987845362623331,0.004793943882023018,0.9673827958282701,0.994965627549489,0.0,0.0,5.02,0.6026875834396486
