Beta,Initialization,Seed,Acceptance Rate,Raw Score,Connectivity Penalty,Adjusted Score,Cross-Partition Bonds,Actual k
0.1,1,42,0.9993,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,2,43,0.9992,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,3,44,0.9993,0.9979803040190321,0.0,0.9979803040190321,3,4
0.1,4,45,0.9992,0.9989220824677357,0.0,0.9989220824677357,3,4
0.1,5,46,1.0,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,6,47,0.9984,0.9982562434698182,0.0,0.9982562434698182,3,4
0.1,7,48,1.0,0.9987584244686465,0.0,0.9987584244686465,3,4
0.1,8,49,0.9993,0.9985308298898365,0.0,0.9985308298898365,3,4
0.1,9,50,1.0,0.9977472393177109,0.0,0.9977472393177109,3,4
0.1,10,51,1.0,0.9977806774175231,0.0,0.9977806774175231,3,4
0.1,11,52,1.0,0.9985308298898365,0.0,0.9985308298898365,3,4
0.1,12,53,1.0,0.9989220824677357,0.0,0.9989220824677357,3,4
0.1,13,54,1.0,0.9979803040190321,0.0,0.9979803040190321,3,4
0.1,14,55,0.9992,0.9987584244686465,0.0,0.9987584244686465,3,4
0.1,15,56,0.9992,0.9980571907631702,0.0,0.9980571907631702,3,4
0.1,16,57,0.9992,0.9982562434698182,0.0,0.9982562434698182,3,4
0.1,17,58,0.9993,0.9974646417553484,0.0,0.9974646417553484,3,4
0.1,18,59,0.9979,0.9976303083911562,0.0,0.9976303083911562,3,4
0.1,19,60,0.9986,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,20,61,0.9993,0.9987584244686465,0.0,0.9987584244686465,3,4
0.1,21,62,0.9986,0.9979194527921237,0.0,0.9979194527921237,3,4
0.1,22,63,0.9992,0.9980571907631702,0.0,0.9980571907631702,3,4
0.1,23,64,0.9977,0.9979803040190321,0.0,0.9979803040190321,3,4
0.1,24,65,1.0,0.9979803040190321,0.0,0.9979803040190321,3,4
0.1,25,66,1.0,0.9985308298898365,0.0,0.9985308298898365,3,4
0.1,26,67,1.0,0.9989220824677357,0.0,0.9989220824677357,3,4
0.1,27,68,1.0,0.9973501312285974,0.0,0.9973501312285974,3,4
0.1,28,69,1.0,0.9989220824677357,0.0,0.9989220824677357,3,4
0.1,29,70,1.0,0.9987584244686465,0.0,0.9987584244686465,3,4
0.1,30,71,0.9992,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,31,72,1.0,0.9982562434698182,0.0,0.9982562434698182,3,4
0.1,32,73,0.9985,0.9982562434698182,0.0,0.9982562434698182,3,4
0.1,33,74,0.9993,0.9989220824677357,0.0,0.9989220824677357,3,4
0.1,34,75,0.9992,0.9989220824677357,0.0,0.9989220824677357,3,4
0.1,35,76,0.9993,0.9985308298898365,0.0,0.9985308298898365,3,4
0.1,36,77,0.9992,0.9982562434698182,0.0,0.9982562434698182,3,4
0.1,37,78,0.9986,0.9980571907631702,0.0,0.9980571907631702,3,4
0.1,38,79,0.9979,0.9975156753630867,0.0,0.9975156753630867,4,4
0.1,39,80,0.9986,0.9989220824677357,0.0,0.9989220824677357,3,4
0.1,40,81,0.9992,0.9979978148229752,0.0,0.9979978148229752,3,4
0.1,41,82,0.9993,0.9974646417553484,0.0,0.9974646417553484,3,4
0.1,42,83,1.0,0.9982562434698182,0.0,0.9982562434698182,3,4
0.1,43,84,1.0,0.9977385044407922,0.0,0.9977385044407922,3,4
0.1,44,85,1.0,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,45,86,1.0,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,46,87,0.9993,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,47,88,0.9993,0.9977086599291826,0.0,0.9977086599291826,3,4
0.1,48,89,0.9993,0.9977806774175231,0.0,0.9977806774175231,3,4
0.1,49,90,0.9986,0.9989220824677357,0.0,0.9989220824677357,3,4
0.1,50,91,0.9993,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,51,92,0.9993,0.9980571907631702,0.0,0.9980571907631702,3,4
0.1,52,93,1.0,0.9987584244686465,0.0,0.9987584244686465,3,4
0.1,53,94,0.9993,0.9977806774175231,0.0,0.9977806774175231,3,4
0.1,54,95,0.9993,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,55,96,0.9993,0.9982562434698181,0.0,0.9982562434698181,3,4
0.1,56,97,0.9992,0.9985308298898365,0.0,0.9985308298898365,3,4
0.1,57,98,0.9993,0.9982562434698182,0.0,0.9982562434698182,3,4
0.1,58,99,0.9993,0.9977086599291826,0.0,0.9977086599291826,3,4
0.1,59,100,1.0,0.9982562434698182,0.0,0.9982562434698182,3,4
0.1,60,101,1.0,0.9977746191664975,0.0,0.9977746191664975,3,4
0.1,61,102,1.0,0.9982562434698182,0.0,0.9982562434698182,3,4
0.1,62,103,0.9993,0.9982562434698182,0.0,0.9982562434698182,3,4
0.1,63,104,1.0,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,64,105,0.9993,0.998027113231188,0.0,0.998027113231188,3,4
0.1,65,106,1.0,0.9982562434698182,0.0,0.9982562434698182,3,4
0.1,66,107,0.9986,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,67,108,0.9993,0.9982562434698182,0.0,0.9982562434698182,3,4
0.1,68,109,0.9993,0.9987584244686465,0.0,0.9987584244686465,3,4
0.1,69,110,0.9992,0.9989220824677357,0.0,0.9989220824677357,3,4
0.1,70,111,1.0,0.9966027091584907,0.0,0.9966027091584907,3,4
0.1,71,112,1.0,0.9989220824677357,0.0,0.9989220824677357,3,4
0.1,72,113,1.0,0.9973501312285974,0.0,0.9973501312285974,3,4
0.1,73,114,0.9985,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,74,115,1.0,0.9987584244686465,0.0,0.9987584244686465,3,4
0.1,75,116,0.9986,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,76,117,1.0,0.9987584244686465,0.0,0.9987584244686465,3,4
0.1,77,118,0.9985,0.9977086599291823,0.0,0.9977086599291823,3,4
0.1,78,119,1.0,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,79,120,1.0,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,80,121,1.0,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,81,122,0.9992,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,82,123,1.0,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,83,124,1.0,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,84,125,1.0,0.9982562434698182,0.0,0.9982562434698182,3,4
0.1,85,126,1.0,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,86,127,0.9993,0.9979803040190321,0.0,0.9979803040190321,3,4
0.1,87,128,0.9992,0.998027113231188,0.0,0.998027113231188,3,4
0.1,88,129,0.9985,0.9985459551830358,0.0,0.9985459551830358,3,4
0.1,89,130,0.9993,0.9987584244686465,0.0,0.9987584244686465,3,4
0.1,90,131,0.9987,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,91,132,0.9986,0.9980571907631702,0.0,0.9980571907631702,3,4
0.1,92,133,1.0,0.9977385044407922,0.0,0.9977385044407922,3,4
0.1,93,134,1.0,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,94,135,0.9985,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,95,136,1.0,0.9982562434698182,0.0,0.9982562434698182,3,4
0.1,96,137,0.9993,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,97,138,0.9993,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,98,139,1.0,0.9976303083911562,0.0,0.9976303083911562,3,4
0.1,99,140,0.9986,0.9994369687820118,0.0,0.9994369687820118,3,4
0.1,100,141,0.9986,0.9994369687820118,0.0,0.9994369687820118,3,4
1.0,1,42,0.9918,0.9980571907631702,0.0,0.9980571907631702,3,4
1.0,2,43,0.9961,0.9987584244686465,0.0,0.9987584244686465,3,4
1.0,3,44,0.9969,0.9994369687820118,0.0,0.9994369687820118,3,4
1.0,4,45,0.9972,0.9989220824677357,0.0,0.9989220824677357,3,4
1.0,5,46,0.9929,0.9977385044407922,0.0,0.9977385044407922,3,4
1.0,6,47,0.9947,0.9977806774175232,0.0,0.9977806774175232,3,4
1.0,7,48,0.9954,0.9989220824677357,0.0,0.9989220824677357,3,4
1.0,8,49,0.9955,0.9982562434698182,0.0,0.9982562434698182,3,4
1.0,9,50,0.9963,0.9977472393177109,0.0,0.9977472393177109,3,4
1.0,10,51,0.9926,0.998027113231188,0.0,0.998027113231188,3,4
1.0,11,52,0.9965,0.9963694402298667,0.0,0.9963694402298667,3,4
1.0,12,53,0.9957,0.9994369687820118,0.0,0.9994369687820118,3,4
