mol_idx,smiles,n_atoms,optimal_k_random,optimal_score_random,within_frac_random,optimal_k_distance,optimal_score_distance,within_frac_distance,best_method,score_difference
0,CC1=C(N)C=NO1,13,2,0.9991839576729583,0.9983679153458903,2,0.9990012639540917,0.998002527908157,Greedy-Random,0.00018269371886658892
1,CC#CC1CC(C)C1O,21,2,0.999699527712373,0.9993990554247294,2,0.9997214597417187,0.9994429194834209,Greedy-Distance,2.1932029345639314e-05
2,C1OC11C2C3CN2C13,15,2,0.9998855969782289,0.9997711939564345,3,0.999256740287302,0.9985519767784857,Greedy-Random,0.0006288566909268267
3,C1NC2C3COCC12O3,18,2,0.9976057250990337,0.9952114501980478,2,0.9990551442996298,0.9981102885992401,Greedy-Distance,0.0014494192005961581
4,O=C1CC2(CC1O2)C#C,15,2,0.9999914519263396,0.9999829038526583,3,0.9966470170202077,0.9939278015237122,Greedy-Random,0.003344434906131899
5,CC1N2CC2(C#C)C1=O,16,2,0.9971140638769708,0.9942281277539213,2,0.9994698297471437,0.9989396594942669,Greedy-Distance,0.0023557658701729434
6,O=CC1OCC11CCO1,17,2,0.9974467934988636,0.9948935869977072,2,0.999761805440993,0.9995236108819658,Greedy-Distance,0.0023150119421294635
7,CC12COCC1(C)C2O,21,2,0.9988880232845346,0.9977760465690526,2,0.9998549189152355,0.999709837830454,Greedy-Distance,0.000966895630700848
8,CNC(=O)CC1CN1,18,2,0.9996377483591582,0.9992754967182966,2,0.9991132573353053,0.9982265146705905,Greedy-Random,0.0005244910238528799
9,CC12C3C(CN13)OC2=O,16,2,0.9967279730317715,0.9934559460635227,2,0.999665517951089,0.9993310359021578,Greedy-Distance,0.002937544919317525
10,COC12C(C)C1CC2C,23,2,0.997771113803506,0.9955422276069968,2,0.9978437793655942,0.9956875587311728,Greedy-Distance,7.266556208818109e-05
11,CC1C2CC2(C)C1=NO,20,2,0.9976683513836299,0.9953367027672423,2,0.9960663075715037,0.9921326151429901,Greedy-Random,0.0016020438121261416
12,NC(C#C)(C#N)C1CO1,15,2,0.9978582570036579,0.9957165140072941,2,0.9989734973267947,0.9979469946535677,Greedy-Distance,0.0011152403231368124
13,CCCC1=NC=NN=N1,17,2,0.9993684262962814,0.9987368525925425,2,0.9989947988974631,0.9979895977949059,Greedy-Random,0.0003736273988182992
14,O=CC1=CC(=O)C(=O)C1,13,2,0.9969498920679903,0.9938997841359584,2,0.9964428106725393,0.9928856213450556,Greedy-Random,0.0005070813954510811
15,OC12C=CC3OC1C2O3,15,2,0.9994934762019695,0.9989869524039172,2,0.9998358112364848,0.9996716224729479,Greedy-Distance,0.00034233503451530645
16,CCC(COC=N)=NO,19,2,0.9984787149341715,0.996957429868324,3,0.9979641804614935,0.9977532489931746,Greedy-Random,0.0005145344726780188
17,N#CC12OCC(O1)C=C2,14,4,0.9947536185965968,0.990438839822093,2,0.9997849071783937,0.9995698143567652,Greedy-Distance,0.005031288581796911
18,NC(=O)C(=O)C(O)CO,16,2,0.9989788548710329,0.9979577097420442,2,0.9982854941754317,0.9965709883508416,Greedy-Random,0.0006933606956012195
19,CC1=NCC(O1)C(N)=O,17,2,0.997911736709593,0.9958234734191661,2,0.9992080688979676,0.9984161377959154,Greedy-Distance,0.0012963321883746604
