Method,k,Mean Adjusted Score,Std Adjusted Score,N
Distance,2,0.9972452242525162,0.0033241138468543432,20
Distance,3,0.9929050831028855,0.006189940598849219,20
Distance,4,0.9890742987000163,0.00583740190813761,20
Distance,5,0.982096031680479,0.00787081083011097,20
Distance,6,0.9694207679315079,0.013174096114963878,20
Distance,7,0.9607414722978866,0.014119148600103255,20
Random,2,0.9222652098198202,0.028970332748513312,20
Random,3,0.8905405574836822,0.023736830959008217,20
Random,4,0.8521048454762143,0.01734375993275793,20
Random,5,0.8582144259836006,0.02023907376013054,20
Random,6,0.8370533018567745,0.024274367056355443,20
Random,7,0.8374296084585187,0.019234325661047418,20
Greedy-Random,2,0.9946808843849182,0.008014729895139619,20
Greedy-Random,3,0.9908321568856954,0.007524552036640131,20
Greedy-Random,4,0.9742950815415856,0.013144894999485046,20
Greedy-Random,5,0.9731698331367351,0.013498264966578218,20
Greedy-Random,6,0.9653461097393325,0.015996989534676185,20
Greedy-Random,7,0.9532277494495837,0.012744828987152946,20
Greedy-Distance,2,0.998004137530779,0.0031715621451651283,20
Greedy-Distance,3,0.9953828715223327,0.0027706997475031607,20
Greedy-Distance,4,0.991944436624135,0.003839687044641307,20
Greedy-Distance,5,0.9869335393088337,0.006209199140243195,20
Greedy-Distance,6,0.9809494155424714,0.0071910221384707,20
Greedy-Distance,7,0.9769757950663671,0.008953638358345516,20
Metropolis-Hastings,2,0.9992786702349561,0.0006891089429465271,20
Metropolis-Hastings,3,0.997519536153364,0.0022757733592681626,20
Metropolis-Hastings,4,0.9952759863848806,0.002646919030648297,20
Metropolis-Hastings,5,0.9934578723666035,0.002855984899402359,20
Metropolis-Hastings,6,0.9870871086509752,0.0040384222845624785,20
Metropolis-Hastings,7,0.9822114972372274,0.0047173702240495,20
