Strategy,N molecules,Mean Score,Std Score,Min Score,Max Score,Median Score,Mean Within %,Mean Between %,Mean Higher %,Validation Pass %,Mean Val Error
Metropolis-Hastings (k=2),20,0.9993897846110296,0.0006951998010386751,0.9974549540594116,0.9999958396793436,0.9995929797783867,99.87795692220386,0.12204307779003815,0.0,100.0,4.756349197849845e-16
Metropolis-Hastings (k=3),20,0.9983051343479662,0.0011115348932147183,0.994551425195831,0.9995063064980713,0.9985157724267624,99.69173038303619,0.27756610351279204,0.030703513444933196,100.0,6.101006785595048e-16
Greedy-Random (k=2),20,0.9982509691914162,0.001390232690941176,0.9943596991162554,0.9999914519263396,0.9981952258218822,99.65019383828118,0.349806161712741,0.0,100.0,4.969633462673756e-16
Greedy-Distance (k=2),20,0.998004137530779,0.003253954103232175,0.9851868493788455,0.9998549189152355,0.9990282041268608,99.60082750615378,0.399172493840146,0.0,100.0,4.553055822274794e-16
Distance (k=2),20,0.9972452242525162,0.0034104688467390615,0.9851868493788455,0.9998549189152355,0.9979012538758101,99.44904485050117,0.5509551494927539,0.0,100.0,5.001596876451281e-16
Metropolis-Hastings (k=4),20,0.9964210173207793,0.001591515318597231,0.9928937117505626,0.9989662189817138,0.9966413409504018,99.43193007790285,0.4203433083420305,0.14772661374903012,100.0,3.623174522859774e-16
Greedy-Distance (k=3),20,0.9953828715223327,0.0028426779610660454,0.9887917622960165,0.999256740287302,0.995987874431292,99.2802180933588,0.5161381177408499,0.2036437888942903,100.0,4.771572250437155e-16
Greedy-Random (k=3),20,0.9946942600602984,0.004321084269218526,0.979577833447622,0.9991811588087581,0.9957242792176052,99.14217954831108,0.654492915429506,0.2033275362533966,100.0,4.3643898923776944e-16
Random (k=2),20,0.9937334258937284,0.0058480748736040485,0.9775088609444961,0.9994383396804393,0.9955589825765851,98.74668517874366,1.2533148212503076,0.0,100.0,3.0688657886567947e-16
Distance (k=3),20,0.9929050831028855,0.006350745055112314,0.9696372166402313,0.9982803105113796,0.9941903097065337,98.85489326887227,0.8712300828244559,0.2738766482972276,100.0,4.1234608104358735e-16
Greedy-Distance (k=4),20,0.991944436624135,0.003939435786583804,0.9832784361022475,0.9972595705154642,0.9927903865301612,98.83202556007106,0.7248362046768183,0.4431382352460764,100.0,3.515552074878859e-16
Greedy-Random (k=4),20,0.988311937940896,0.006065514843906714,0.9722150099579793,0.996040699963434,0.9895477355074644,98.19064832730365,1.2810909335639502,0.5282607391264389,100.0,4.209218246187231e-16
Random (k=3),20,0.9843997578322485,0.010356498884956954,0.9645414762420185,0.9981773494470633,0.9893049831521519,97.60292359485241,1.6741043767369825,0.7229720284046809,100.0,3.0929847927979267e-16
