Strategy,N Molecules,Mean Adjusted Score,Std Adjusted Score,Min Adjusted Score,Max Adjusted Score,Median Adjusted Score,Mean Raw Score,Std Raw Score,Mean Connectivity Penalty,Mean Within %,Mean Between %,Mean Higher %,Mean Actual k,Validation Pass %,Mean Validation Error
Metropolis-Hastings (k=2),20,0.9992786702349561,0.0007070108576914204,0.9974549540594116,0.9999958396793436,0.9994964635113509,0.9992786702349561,0.0007070108576914204,0.0,99.85573404698918,0.14426595300471276,0.0,2.0,100.0,4.649166295457603e-16
Greedy-Distance (k=2),20,0.998004137530779,0.003253954103232175,0.9851868493788455,0.9998549189152355,0.9990282041268608,0.998004137530779,0.003253954103232175,0.0,99.60082750615378,0.399172493840146,0.0,2.0,100.0,4.553055822274794e-16
Metropolis-Hastings (k=3),20,0.997519536153364,0.002334894200861245,0.9887917622960165,0.9994262272648048,0.998194513795746,0.997519536153364,0.002334894200861245,0.0,99.58034142942559,0.3432243718135196,0.07643419875479643,3.0,100.0,4.761565053837562e-16
Distance (k=2),20,0.9972452242525162,0.0034104688467390615,0.9851868493788455,0.9998549189152355,0.9979012538758101,0.9972452242525162,0.0034104688467390615,0.0,99.44904485050117,0.5509551494927539,0.0,2.0,100.0,5.001596876451281e-16
Greedy-Distance (k=3),20,0.9953828715223327,0.0028426779610660454,0.9887917622960165,0.999256740287302,0.995987874431292,0.9953828715223327,0.0028426779610660454,0.0,99.2802180933588,0.5161381177408499,0.2036437888942903,3.0,100.0,4.771572250437155e-16
Metropolis-Hastings (k=4),20,0.9952759863848806,0.0027156816251673733,0.9891353154039496,0.9986163652722343,0.9962868417504999,0.9952759863848806,0.0027156816251673733,0.0,99.2421256098359,0.5709460572962318,0.18692833286180546,4.0,100.0,3.4216663577491075e-16
Greedy-Random (k=2),20,0.9946808843849182,0.008222939370222965,0.9711280991409444,0.9999914519263396,0.9978849968566255,0.9982509691914162,0.001390232690941176,0.0357008480649785,99.65019383828118,0.349806161712741,0.0,2.0,100.0,4.969633462673756e-16
Metropolis-Hastings (k=5),20,0.9934578723666035,0.0029301786806689165,0.9856791127844934,0.9972017509637711,0.993266329107622,0.9934578723666035,0.0029301786806689165,0.0,98.98818069134083,0.7152130906309425,0.2966062180221658,5.0,100.0,5.603902572994382e-16
Distance (k=3),20,0.9929050831028855,0.006350745055112314,0.9696372166402313,0.9982803105113796,0.9941903097065337,0.9929050831028855,0.006350745055112314,0.0,98.85489326887227,0.8712300828244559,0.2738766482972276,3.0,100.0,4.1234608104358735e-16
Greedy-Distance (k=4),20,0.991944436624135,0.003939435786583804,0.9832784361022475,0.9972595705154642,0.9927903865301612,0.991944436624135,0.003939435786583804,0.0,98.83202556007106,0.7248362046768183,0.4431382352460764,4.0,100.0,3.515552074878859e-16
Greedy-Random (k=3),20,0.9908321568856954,0.007720027498731032,0.9752144581533763,0.9991811588087581,0.9940278092800816,0.9946942600602984,0.004321084269218526,0.03862103174603174,99.14217954831108,0.654492915429506,0.2033275362533966,3.0,100.0,4.3643898923776944e-16
Distance (k=4),20,0.9890742987000163,0.005989047990169759,0.9724174495548468,0.9972595705154642,0.9891071014998968,0.9890742987000163,0.005989047990169759,0.0,98.34821250288005,1.1184347342351173,0.5333527628788204,4.0,100.0,3.573097197289433e-16
Metropolis-Hastings (k=6),20,0.9870871086509752,0.004143333840539375,0.9812163305027032,0.9941403361478462,0.9864927416343039,0.9870871086509752,0.004143333840539375,0.0,98.0751192414125,1.26718324736209,0.6576975112194382,6.0,100.0,3.524257747884328e-16
Greedy-Distance (k=5),20,0.9869335393088337,0.006370503901675269,0.9728358621686798,0.9948277376855491,0.987511581827959,0.9869335393088337,0.006370503901675269,0.0,98.11328709293016,1.1601336758984169,0.7265792311654221,5.0,100.0,3.857879416793788e-16
Metropolis-Hastings (k=7),20,0.9822114972372274,0.00483991972864588,0.9749437202528596,0.9909197098220696,0.9824060672864083,0.9822114972372274,0.00483991972864588,0.0,97.39803026812783,1.6462389111817985,0.9557308206843699,7.0,100.0,2.878763565627512e-16
Distance (k=5),20,0.982096031680479,0.008075281525051237,0.966915426853241,0.9936157063336419,0.9828290128422379,0.982096031680479,0.008075281525051237,0.0,97.45035332972543,1.5184996766369858,1.0311469936316398,5.0,100.0,3.410746277582891e-16
Greedy-Distance (k=6),20,0.9809494155424714,0.007377833043436029,0.9649991842289314,0.9925621582157346,0.9832766135208053,0.9809494155424714,0.007377833043436029,0.0,97.17618040090747,1.8375223066714421,0.9862972924151583,6.0,100.0,2.5545603238122377e-16
Greedy-Distance (k=7),20,0.9769757950663671,0.009186239128061758,0.9545307801810644,0.9866163205156169,0.9791930456375157,0.9769757950663671,0.009186239128061758,0.0,96.78555349539278,1.8240520224800587,1.390394482121262,7.0,100.0,3.3763206382165933e-16
Greedy-Random (k=4),20,0.9742950815415856,0.01348637770990405,0.9494340497361597,0.9947536185965968,0.9733904789631753,0.988311937940896,0.006065514843906714,0.14016856399310293,98.19064832730365,1.2810909335639502,0.5282607391264389,4.0,100.0,4.209218246187231e-16
Greedy-Random (k=5),20,0.9731698331367351,0.013848927646418688,0.9421034589581156,0.9910480335612011,0.9747221503415439,0.9867489709732931,0.006462910925484575,0.1357913783655808,98.01563414345658,1.3185259077375198,0.665839948799939,5.0,100.0,3.0249820238014216e-16
Distance (k=6),20,0.9694207679315079,0.013516337422242071,0.9413182050234824,0.9871463134211836,0.9672928346054674,0.9694207679315079,0.013516337422242071,0.0,95.89558414397207,2.092985298349683,2.0114305576724174,6.0,100.0,2.681527584805829e-16
Greedy-Random (k=6),20,0.9653461097393325,0.016412564961110526,0.9339380452500016,0.9950084285640122,0.9667734704579833,0.980568045653286,0.007860421194369333,0.15221935913953683,97.21360994050401,1.686389249641312,1.1000008098487568,6.0,100.0,3.110673239280301e-16
Distance (k=7),20,0.9607414722978866,0.014485940813579347,0.9314266153710254,0.9798469949170636,0.9632691794962307,0.9607414722978866,0.014485940813579347,0.0,94.82359280507137,2.501108849426928,2.6752983454959542,7.0,100.0,3.357967225030162e-16
Greedy-Random (k=7),20,0.9532277494495837,0.013075918641846283,0.9349609131621588,0.9795322561120963,0.9505157466177918,0.9751330374992049,0.007494580537649106,0.2190528804962107,96.48121335579472,2.0641807882436973,1.454605855955717,7.0,100.0,3.050440446390276e-16
Random (k=2),20,0.9222652098198202,0.02972293425267826,0.8441755276111628,0.9793206748177797,0.9177079769989288,0.9937334258937284,0.0058480748736040485,0.7146821607390828,98.74668517874366,1.2533148212503076,0.0,2.0,100.0,3.0688657886567947e-16
Random (k=3),20,0.8905405574836822,0.02435347471104712,0.8410120644773126,0.9385494660893816,0.8889313479085352,0.9843997578322485,0.010356498884956954,0.9385920034856635,97.60292359485241,1.6741043767369825,0.7229720284046809,3.0,100.0,3.0929847927979267e-16
Random (k=5),20,0.8582144259836006,0.020764851544148616,0.8199892050628951,0.8966419039851108,0.8560974550827432,0.9622440425154212,0.010078142099159861,1.0402961653182072,94.87026723405062,2.708274034975291,2.4214587309682996,5.0,100.0,3.367295525452093e-16
Random (k=4),20,0.8521048454762143,0.017794322234771502,0.8145715073121249,0.8951124895607323,0.854833836005583,0.9672462540257867,0.009496113634644181,1.151414085495725,95.33988644758338,2.769477909982828,1.8906356424279802,4.0,100.0,3.032237541521278e-16
Random (k=7),20,0.8374296084585187,0.019734001745190622,0.8113687455247746,0.8889182213273066,0.83136481864277,0.9354176345848877,0.015846106423295144,0.979880261263691,91.8223741089014,3.438778699167312,4.738847191925708,7.0,100.0,2.680415169832545e-16
Random (k=6),20,0.8370533018567745,0.02490497511038971,0.8056563463169105,0.9032926225701082,0.8318467245735923,0.9422703346594513,0.011259799017715134,1.0521703280267691,92.53078072915224,3.392505473578307,4.076713797263825,6.0,100.0,3.22830543016977e-16
