Strategy,N_molecules,Mean Score,Std Score,Min Score,Max Score,Median Score,Mean Within %,Mean Between %,Mean Higher %,Validation Pass %
Metropolis-Hastings (k=2),20,0.9992786702349561,0.0007070108576914204,0.9974549540594116,0.9999958396793436,0.9994964635113509,99.85573404698918,0.14426595300471276,0.0,100.0
Greedy-Random (k=2),20,0.9982509691914162,0.001390232690941176,0.9943596991162554,0.9999914519263396,0.9981952258218822,99.65019383828118,0.349806161712741,0.0,100.0
Greedy-Distance (k=2),20,0.998004137530779,0.003253954103232175,0.9851868493788455,0.9998549189152355,0.9990282041268608,99.60082750615378,0.399172493840146,0.0,100.0
Metropolis-Hastings (k=3),20,0.997519536153364,0.002334894200861245,0.9887917622960165,0.9994262272648048,0.998194513795746,99.58034142942559,0.3432243718135196,0.07643419875479643,100.0
Distance (k=2),20,0.9972452242525162,0.0034104688467390615,0.9851868493788455,0.9998549189152355,0.9979012538758101,99.44904485050117,0.5509551494927539,0.0,100.0
Greedy-Distance (k=3),20,0.9953828715223327,0.0028426779610660454,0.9887917622960165,0.999256740287302,0.995987874431292,99.2802180933588,0.5161381177408499,0.2036437888942903,100.0
Metropolis-Hastings (k=4),20,0.9952759863848806,0.0027156816251673733,0.9891353154039496,0.9986163652722343,0.9962868417504999,99.2421256098359,0.5709460572962318,0.18692833286180546,100.0
Greedy-Random (k=3),20,0.9946942600602984,0.004321084269218526,0.979577833447622,0.9991811588087581,0.9957242792176052,99.14217954831108,0.654492915429506,0.2033275362533966,100.0
Random (k=2),20,0.9937334258937284,0.0058480748736040485,0.9775088609444961,0.9994383396804393,0.9955589825765851,98.74668517874366,1.2533148212503076,0.0,100.0
Metropolis-Hastings (k=5),20,0.9934578723666035,0.0029301786806689165,0.9856791127844934,0.9972017509637711,0.993266329107622,98.98818069134083,0.7152130906309425,0.2966062180221658,100.0
Distance (k=3),20,0.9929050831028855,0.006350745055112314,0.9696372166402313,0.9982803105113796,0.9941903097065337,98.85489326887227,0.8712300828244559,0.2738766482972276,100.0
Greedy-Distance (k=4),20,0.991944436624135,0.003939435786583804,0.9832784361022475,0.9972595705154642,0.9927903865301612,98.83202556007106,0.7248362046768183,0.4431382352460764,100.0
Distance (k=4),20,0.9890742987000163,0.005989047990169759,0.9724174495548468,0.9972595705154642,0.9891071014998968,98.34821250288005,1.1184347342351173,0.5333527628788204,100.0
Greedy-Random (k=4),20,0.988311937940896,0.006065514843906714,0.9722150099579793,0.996040699963434,0.9895477355074644,98.19064832730365,1.2810909335639502,0.5282607391264389,100.0
Metropolis-Hastings (k=6),20,0.9870871086509752,0.004143333840539375,0.9812163305027032,0.9941403361478462,0.9864927416343039,98.0751192414125,1.26718324736209,0.6576975112194382,100.0
Greedy-Distance (k=5),20,0.9869335393088337,0.006370503901675269,0.9728358621686798,0.9948277376855491,0.987511581827959,98.11328709293016,1.1601336758984169,0.7265792311654221,100.0
Greedy-Random (k=5),20,0.9867489709732931,0.006462910925484575,0.9705150868521603,0.9974347334411752,0.9889740665865734,98.01563414345658,1.3185259077375198,0.665839948799939,100.0
Random (k=3),20,0.9843997578322485,0.010356498884956954,0.9645414762420185,0.9981773494470633,0.9893049831521519,97.60292359485241,1.6741043767369825,0.7229720284046809,100.0
Metropolis-Hastings (k=7),20,0.9822114972372274,0.00483991972864588,0.9749437202528596,0.9909197098220696,0.9824060672864083,97.39803026812783,1.6462389111817985,0.9557308206843699,100.0
Distance (k=5),20,0.982096031680479,0.008075281525051237,0.966915426853241,0.9936157063336419,0.9828290128422379,97.45035332972543,1.5184996766369858,1.0311469936316398,100.0
Greedy-Distance (k=6),20,0.9809494155424714,0.007377833043436029,0.9649991842289314,0.9925621582157346,0.9832766135208053,97.17618040090747,1.8375223066714421,0.9862972924151583,100.0
Greedy-Random (k=6),20,0.980568045653286,0.007860421194369333,0.9660888598720407,0.9950084285640122,0.9824906316065442,97.21360994050401,1.686389249641312,1.1000008098487568,100.0
Greedy-Distance (k=7),20,0.9769757950663671,0.009186239128061758,0.9545307801810644,0.9866163205156169,0.9791930456375157,96.78555349539278,1.8240520224800587,1.390394482121262,100.0
Greedy-Random (k=7),20,0.9751330374992049,0.007494580537649106,0.962105889674343,0.9912969619944492,0.975613785833478,96.48121335579472,2.0641807882436973,1.454605855955717,100.0
Distance (k=6),20,0.9694207679315079,0.013516337422242071,0.9413182050234824,0.9871463134211836,0.9672928346054674,95.89558414397207,2.092985298349683,2.0114305576724174,100.0
Random (k=4),20,0.9672462540257867,0.009496113634644181,0.9483010199078595,0.9837193307259943,0.9676006736607194,95.33988644758338,2.769477909982828,1.8906356424279802,100.0
Random (k=5),20,0.9622440425154212,0.010078142099159861,0.945952488832452,0.9791579204144357,0.9623108978959826,94.87026723405062,2.708274034975291,2.4214587309682996,100.0
Distance (k=7),20,0.9607414722978866,0.014485940813579347,0.9314266153710254,0.9798469949170636,0.9632691794962307,94.82359280507137,2.501108849426928,2.6752983454959542,100.0
Random (k=6),20,0.9422703346594513,0.011259799017715134,0.9202951260167781,0.9670604417742258,0.942793464860181,92.53078072915224,3.392505473578307,4.076713797263825,100.0
Random (k=7),20,0.9354176345848877,0.015846106423295144,0.9036415027780582,0.9539009205165473,0.936698716655965,91.8223741089014,3.438778699167312,4.738847191925708,100.0
