Method,N,Mean Adjusted Score,Std Adjusted Score,Median Adjusted Score,Minimum Adjusted Score,Maximum Adjusted Score
Greedy-Distance,100,0.9916453818080896,0.004088790773173965,0.9925404591999079,0.9822485658113175,0.9989220824677357
Metropolis-Hastings,100,0.9985963069158401,0.0006595164611935643,0.9985459551830358,0.9969208790371012,0.9994369687820118
