Lambda,N,Raw_Mean,Raw_Std,Raw_Median,Raw_Min,Raw_Max,Adjusted_Mean,Adjusted_Std,Adjusted_Median,Adjusted_Min,Adjusted_Max,Penalty_Mean,Penalty_Std,Cross_Bonds_Mean,Cross_Bonds_Std,Within_Fraction_Mean,Between_Fraction_Mean,Higher_Fraction_Mean
0.01,100,0.9981717684196552,0.00038882838778074417,0.9982131233475634,0.9968614694786521,0.9988478505780566,0.9981507157880763,0.0003840473534495478,0.9982131233475634,0.9968614694786521,0.9985932081167332,0.002105263157894737,0.014811083593293655,3.02,0.14070529413628974,0.9967821698463558,0.002779197146523325,0.0004386330070642383
0.1,100,0.9981268620353458,0.0004044036157848037,0.9982131233475634,0.9966448987251931,0.9985932081167332,0.9981268620353458,0.0004044036157848037,0.9982131233475634,0.9966448987251931,0.9985932081167332,0.0,0.0,3.0,0.0,0.9967153958969287,0.0028229322767589905,0.00046167182625579396
0.5,100,0.9976892705743206,0.0009479170818788424,0.998062656952115,0.9919719197140072,0.9985932081167332,0.9976892705743206,0.0009479170818788424,0.998062656952115,0.9919719197140072,0.9985932081167332,0.0,0.0,3.0,0.0,0.9961279729681567,0.0031225952122522845,0.0007494318195345334
1.0,100,0.9964487587388869,0.0015107824264555159,0.9967531841019226,0.9901620434121523,0.9985932081167332,0.9964487587388869,0.0015107824264555159,0.9967531841019226,0.9901620434121523,0.9985932081167332,0.0,0.0,3.12,0.3265986323710904,0.9944719739613156,0.003953569555067424,0.0015744564835606088
1.5,100,0.9956282504663012,0.001750949781350781,0.995805894156339,0.9896643651425882,0.99843896738542,0.9956282504663012,0.001750949781350781,0.995805894156339,0.9896643651425882,0.99843896738542,0.0,0.0,3.25,0.4793724854411022,0.9931156555286893,0.005025189875148853,0.0018591545961055664
