k,N,Raw_Mean,Raw_Std,Raw_Min,Raw_Max,Adjusted_Mean,Adjusted_Std,Adjusted_Min,Adjusted_Max,Penalty_Mean,Penalty_Std
2,100,0.9994918676513295,0.00021454917029390064,0.9984985514762773,0.999654782968768,0.9994918676513295,0.00021454917029390064,0.9984985514762773,0.999654782968768,0.0,0.0
3,100,0.9985977462213296,0.0007066804086024427,0.9964776810095466,0.9992380197071412,0.9985977462213296,0.0007066804086024427,0.9964776810095466,0.9992380197071412,0.0,0.0
4,100,0.9970832647933844,0.0014032713600110355,0.9919706497255061,0.9985932081167331,0.9970832647933844,0.0014032713600110355,0.9919706497255061,0.9985932081167331,0.0,0.0
5,100,0.9944058864668008,0.0016285952935628154,0.9888755613012936,0.9971955074211288,0.9944058864668008,0.0016285952935628154,0.9888755613012936,0.9971955074211288,0.0,0.0
