Strategy,N molecules,Mean score,Score std,Median score,Mean within %,Mean between %,Mean higher-order %,Mean requested k,Mean actual k,Validation pass %,Mean validation error,Contribution setting
Greedy-Random (k=2),20,0.9982509691914162,0.001390232690941176,0.9981952258218822,99.65019383828118,0.349806161712741,0.0,2.0,2.0,100.0,4.969633462673756e-16,With single-atom contributions
Greedy-Distance (k=2),20,0.998004137530779,0.003253954103232175,0.9990282041268608,99.60082750615378,0.399172493840146,0.0,2.0,2.0,100.0,4.553055822274794e-16,With single-atom contributions
Distance (k=2),20,0.9972452242525162,0.0034104688467390615,0.9979012538758101,99.44904485050117,0.5509551494927539,0.0,2.0,2.0,100.0,5.001596876451281e-16,With single-atom contributions
Greedy-Distance (k=3),20,0.9953828715223327,0.0028426779610660454,0.995987874431292,99.2802180933588,0.5161381177408499,0.2036437888942903,3.0,3.0,100.0,4.771572250437155e-16,With single-atom contributions
Greedy-Random (k=3),20,0.9946942600602984,0.004321084269218526,0.9957242792176052,99.14217954831108,0.654492915429506,0.2033275362533966,3.0,3.0,100.0,4.3643898923776944e-16,With single-atom contributions
Random (k=2),20,0.9937334258937284,0.0058480748736040485,0.9955589825765851,98.74668517874366,1.2533148212503076,0.0,2.0,2.0,100.0,3.0688657886567947e-16,With single-atom contributions
Distance (k=3),20,0.9929050831028855,0.006350745055112314,0.9941903097065337,98.85489326887227,0.8712300828244559,0.2738766482972276,3.0,3.0,100.0,4.1234608104358735e-16,With single-atom contributions
Greedy-Distance (k=4),20,0.991944436624135,0.003939435786583804,0.9927903865301612,98.83202556007106,0.7248362046768183,0.4431382352460764,4.0,4.0,100.0,3.515552074878859e-16,With single-atom contributions
Greedy-Random (k=4),20,0.988311937940896,0.006065514843906714,0.9895477355074644,98.19064832730365,1.2810909335639502,0.5282607391264389,4.0,4.0,100.0,4.209218246187231e-16,With single-atom contributions
Random (k=3),20,0.9843997578322485,0.010356498884956954,0.9893049831521519,97.60292359485241,1.6741043767369825,0.7229720284046809,3.0,3.0,100.0,3.0929847927979267e-16,With single-atom contributions
Greedy-Random (k=2),20,0.989847608121555,0.009727603916605185,0.9930994079502559,97.96952162414388,2.030478375354741,0.0,2.0,2.0,100.0,2.20230955390198e-15,Without single-atom contributions
Greedy-Distance (k=2),20,0.9581773648774992,0.04385046072113852,0.9684662686019456,91.63547297527131,8.364527024043177,0.0,2.0,2.0,100.0,1.565037089449191e-15,Without single-atom contributions
Greedy-Distance (k=3),20,0.880203676559969,0.06425742160624572,0.8927425105830835,79.50658855501368,17.027558201571576,3.4658532431186067,3.0,3.0,100.0,1.6411054366141396e-15,Without single-atom contributions
Greedy-Random (k=3),20,0.8782099490548598,0.06344329564249328,0.8873578585924226,78.31749834096316,19.006993128678847,2.675508530082903,3.0,3.0,100.0,1.218307996787412e-15,Without single-atom contributions
Distance (k=2),20,0.874293995253009,0.07555456477914577,0.8882300297717327,74.85879905040589,25.141200949006514,0.0,2.0,2.0,100.0,1.5247341149999948e-15,Without single-atom contributions
Greedy-Distance (k=4),20,0.8105668930383387,0.07507170575396858,0.8237926210214637,70.71031270517116,20.692753197078876,8.596934097565045,4.0,4.0,100.0,1.7863078637025502e-15,Without single-atom contributions
Greedy-Random (k=4),20,0.7968572095137565,0.09679628187390762,0.8048824153717689,68.61005621555618,22.151329471390653,9.238614312866941,4.0,4.0,100.0,9.82206314001928e-16,Without single-atom contributions
Random (k=2),20,0.7514572793238765,0.12571126619385095,0.7410725913722527,50.291455864645606,49.70854413496535,0.0,2.0,2.0,100.0,3.895126887005512e-15,Without single-atom contributions
Distance (k=3),20,0.7229337400262705,0.14977888891536872,0.7520794750142186,56.06443011340229,32.45788777806511,11.477682108244288,3.0,3.0,100.0,1.1021956985128235e-15,Without single-atom contributions
Random (k=3),20,0.5930020634560634,0.1401994868365716,0.5798616844031566,38.13397900484682,42.33245468124534,19.53356631370254,3.0,3.0,100.0,2.6556732365448975e-15,Without single-atom contributions
